,Sharks,Rays,Cod (adult),Whiting (adult),Other gadoids,Demersal fish,Herring (adult),Sprat,Mackerel,Horse mackerel,Sandeels,Plaice (adult),Dab,Other flatfish,Sole (adult),Sea Bass,Pelagic fish,Squid & cuttlefish,Large crabs + shrimps ,Crangon  (commercial size)
1991,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1992,0.6,1.197721725,1.235957517,0.866770223,0.850381679,,1.212070128,2.607361963,0.292803326,1.077868852,1.767783858,0.84128597,0.943894389,0.979612992,0.952558635,0.780487805,1.825903151,1.733333333,0.483618234,1.064408197
1993,0.925,1.380797396,1.180116063,0.896283905,0.848854962,,0.96434592,1.176831469,0.422707197,2.652868852,3.638166895,0.775605593,1.064356436,1.027988943,1.229211087,0.731707317,1.475787855,3.733333333,0.591168091,1.066638784
1994,0.975,1.382424736,0.899704369,0.849683355,0.66870229,,1.05858058,5.413208228,0.546115874,1.22704918,0.999316005,0.711550967,0.768976898,0.993434692,1.250533049,1,0.768639508,4.533333333,1.074074074,1.21622752
1995,4.725,1.264442636,1.610095259,0.878002151,0.764885496,,1.352242077,1.970768676,0.970901533,1.048360656,1.625170999,0.781458299,0.669966997,1.080511403,1.285447761,1.536585366,1.598385857,6.033333333,1.142450142,1.592220828
1996,3.1,1.056956876,1.346326508,0.801290477,0.847328244,,0.719234659,1.840851678,0.432579891,2.531557377,0.506497948,0.743496992,1.059405941,0.9861783,1.103233831,1.170731707,0.986548809,3.166666667,1.096866097,1.433430922
1997,2.475,0.844589097,1.75528304,0.604492771,0.303816794,,0.922370196,2.887766149,0.458820473,17.31885246,1.081737346,0.663184848,0.853135314,0.611264686,0.723436389,0.975609756,0.238662567,1.533333333,0.98005698,1.070960546
1998,3,1.04637917,2.206722873,0.431114829,0.390839695,,0.291554282,9.797546012,0.438035853,4.595901639,3.308481532,0.635547066,1.184622529,1.067098465,0.894633973,1.097560976,1.238278248,1.4,0.986467236,1.028300572
1999,0.85,0.898291294,1.257527647,0.233122237,,,0.340441672,3.145073981,0.14731099,3.996311475,3.541723666,0.66448545,1.069499543,0.788580546,0.848436389,0.195121951,4.654496541,2.633333333,0.992165242,1.441795622
2000,2.3,0.970707893,0.937369977,0.483092365,0.46186523,,0.416554282,10.68892097,0.276955053,5.108196721,4.101915185,0.718175906,1.113400397,0.813411502,0.987473348,2.609756098,1.686010761,7.8,1.148148148,1.048515266
2001,4.725,1.06997559,0.507609767,0.688134783,0.511200835,,0.287929872,11.61024901,0.34294622,2.145491803,2.454514364,0.727605267,1.10452682,0.823691834,0.980010661,3.268292683,1.014219831,8.666666667,1.295584046,1.546075561
2002,3.825,1.170870627,0.798751779,0.634842873,0.556337664,,0.621544167,5.470227355,0.427123928,3.807377049,1.708618331,0.730531621,0.96488474,0.907990557,0.922263682,4.975609756,1.915449654,20.46666667,1.473646724,0.935731214
2003,3.15,1.084621644,0.407533122,0.456924364,0.331178364,,0.687626433,8.719956694,0.418810081,7.500409836,9.851573187,0.635994147,0.867975939,0.865762116,1.068141436,8.829268293,0.654496541,10.46666667,1.37962963,1.258190436
2004,3.05,1.016273393,0.241213183,0.295853746,0.29181485,,0.569538098,6.678455431,0.288906209,13.51270492,4.871067031,0.580718582,0.852330422,0.883001442,1.103855721,8.926829268,0.110684089,15.63333333,1.163105413,1.118081695
