year,pH,Net Primary Production [mg C m-³ day-1],(Bottom) Temperature [°C],Salinity [ppm],Sea Surface Temperature [°C]
1991,8.137041171,1,10.75365337,34.1864926,10.76740436
1992,8.137041171,1,10.75365337,34.1864926,10.76740436
1993,8.137041171,1,10.75365337,34.1864926,10.76740436
1994,8.131184498,1.045937541,11.42698864,33.8243831,11.45314781
1995,8.137786865,1.129115027,11.82093839,33.60095278,11.85731689
1996,8.137616793,1.017583663,10.1811433,34.05843226,10.19969368
1997,8.118619919,1.134168326,11.16696543,34.00178432,11.20065699
1998,8.107636054,0.6002075,11.24507296,34.05245558,11.25743639
1999,8.123007377,0.599732156,11.82532918,33.90636222,11.84891578
2000,8.119381984,0.522281132,11.46184599,33.81018257,11.49116437
2001,8.118439992,0.61015482,11.46160082,33.492184,11.48541586
2002,8.108976126,0.563618378,11.97327582,33.6736358,11.99685061
2003,8.103139242,0.666049449,11.7590243,33.89835135,11.78943725
2004,8.100101789,0.631100087,11.46227805,33.95203368,11.49464726
2005,8.104782025,0.627635178,11.45026374,33.96776803,11.48473406
2006,8.094808658,0.590884802,11.54421099,33.98420715,11.59580863
2007,8.096644799,0.669164797,12.1307588,33.84883849,12.15406148
2008,8.085077604,0.671276712,11.5227265,33.89366341,11.54515803
2009,8.093026638,0.612546163,11.54752517,34.02165826,11.57876281
2010,8.098499457,0.641413436,10.57869788,33.70873102,10.60847274
2011,8.086035411,0.641359305,11.43773671,33.98821767,11.45779459
2012,8.096818924,0.57287564,11.146993,34.09529813,11.16274865
2013,8.092639605,0.609958754,10.60815763,33.73958047,10.64042338
2014,8.088227669,0.626026893,12.58849796,34.00796032,12.61659416
2015,8.085949183,0.57575952,11.51757975,34.00315126,11.53731712
2016,8.08198301,0.585110079,12.16162248,33.91299979,12.18853045
2017,8.075930198,0.545610999,11.92631654,34.02208201,11.94874938
2018,8.078804175,0.549440876,11.6117959,33.87891293,11.6577427
2019,8.073872725,0.493957131,12.08074323,33.87721443,12.11166374
2020,8.066485087,0.496939847,12.12160099,33.93892797,12.15987579
2021,8.07128946,0.492001976,11.42239618,33.61659749,11.43283979
2022,8.06252861,0.56495565,12.65496616,33.5948267,12.68693435
