Name,Sharks_C_rel,Rays_C_rel,Cod.adult_C_rel,Whiting.adult_C_rel,OtherGadoids_C_rel,DemersalFish_C_rel,Herring.adult_C_rel,Sprat_C_rel,Mackerel_C_rel,Sandeels_C_rel,Plaice.adult_C_rel,Dab_C_rel,OtherFlatfish_C_rel,Sole.adult_C_rel,SeaBass_C_rel,PelagicFish_C_rel,SquidCuttlefish_C_rel,LargeCrabsShrimps _C_abs,Crangon.com_C_rel,Cod.adult_B_rel_ICES,Herring.adult_B_rel_ICES,Whiting.adult_SSB,Whiting.adult_B_rel,Mackerel_B_rel_ICES,Horse.Mackerel_B_abs_ICES,Sprat_B_rel_ICES,Plaice.adult_B_rel_ICES,Sole.adult_B_rel,OtherFlatfish_B_rel,Dab_B_rel,Rays_B_rel_rescaled,Sharks_B_rel,OtherGadoids_B_rel,DemersalFish_B_rel,SeaBass_B_rel,Sandeels_B_rel_ICES,SquidCuttlefish_CPUE_rel,Whiting.adult_F2.5,Mackerel_F4.8,Cod_F2.4,Sole_F2.6,Sprat_F1.2,Herring_F2.6,Plaice_F2.6,Sandeels_F1.2,Beam_E_rel,Demersal_E_rel,Dredge_E_rel,Hooks_E_rel,Nets_E_rel,Pelagic_E_rel,Pots_E_rel,Shrimp_E_rel,T_force,Horse.Mackerel_C_Force,pH,nppv_rel,bottomT,sal,SST
Weight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pool code,5,6,8,10,11,12,14,15,16,18,20,21,22,24,25,26,27,31,36,8,14,10,10,16,17,15,20,24,22,21,6,5,11,12,25,18,27,10,16,8,24,15,14,26,18,4,2,9,8,3,6,7,5,6,17,1,2,3,4,5
Type,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,-6,2,2,2,2,2
1991,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.507120614,1,1,1,1,1,1,1,1,1,1,1,,0.49,0.27,1.32,0.47,0.89,0.31,0.4,0.57,1,1,1,1,1,1,1,1,11.49193864,0.038344368,8.137041171,1,10.75365337,34.1864926,10.76740436
1992,0.6,1.197721725,1.235957517,0.866770223,0.850381679,,1.212070128,2.607361963,0.292803326,1.767783858,0.84128597,0.943894389,0.979612992,0.952558635,0.780487805,1.825903151,1.733333333,0.483618234,1.064408197,0.822253757,0.760910902,0.957825462,2.085439013,0.917280931,2.073797965,1.219819488,0.85171603,0.932465162,0.725219792,0.787813786,1,4.262957231,0.890775859,1.728456394,1.811701177,0.894044662,,0.47,0.29,1.19,0.49,0.97,0.37,0.39,0.84,1.16,0.97,1,1,1,1.17,1,1.04,11.50362753,0.0413302,8.137041171,1,10.75365337,34.1864926,10.76740436
1993,0.925,1.380797396,1.180116063,0.896283905,0.848854962,,0.96434592,1.176831469,0.422707197,3.638166895,0.775605593,1.064356436,1.027988943,1.229211087,0.731707317,1.475787855,3.733333333,0.591168091,1.066638784,0.614197868,0.542361988,0.899068453,1.070597504,0.813779913,0.837959061,1.589051675,0.765247925,0.701652604,0.856260032,1.110892522,0.38361923,1.017711337,0.747585797,0.869971357,0.691260525,0.793738989,,0.54,0.31,1.14,0.53,1.54,0.43,0.36,0.37,1.17,0.9,1,1,1,1.08,1,1.13,11.51462894,0.10172258,8.137041171,1,10.75365337,34.1864926,10.76740436
1994,0.975,1.382424736,0.899704369,0.849683355,0.66870229,,1.05858058,5.413208228,0.546115874,0.999316005,0.711550967,0.768976898,0.993434692,1.250533049,1,0.768639508,4.533333333,1.074074074,1.21622752,0.764763672,0.578214905,0.876919868,1.992359182,0.709071953,1.760316877,1.059260198,0.668531427,1.062273992,0.734677766,1.191172485,0.594785585,1.947929746,0.620978183,1.129593063,0.78705777,0.550461,,0.55,0.32,1.14,0.59,0.78,0.43,0.36,0.3,1.1,0.89,1,1,1,0.88,1,1.22,11.52930789,0.047050425,8.131184498,1.045937541,11.42698864,33.8243831,11.45314781
1995,4.725,1.264442636,1.610095259,0.878002151,0.764885496,,1.352242077,1.970768676,0.970901533,1.625170999,0.781458299,0.669966997,1.080511403,1.285447761,1.536585366,1.598385857,6.033333333,1.142450142,1.592220828,0.695557254,0.598553766,0.888019651,2.552975977,0.699609783,2.030091467,1.604693786,0.635640996,0.766303552,3.003832885,1.179955191,0.751876688,1.059413559,0.709311309,0.753922474,0.297087855,1.253575008,,0.49,0.31,1.25,0.66,1.2,0.4,0.38,0.56,0.97,0.82,1,1,1,0.65,1,1.2,11.53575165,0.040198727,8.137786865,1.129115027,11.82093839,33.60095278,11.85731689
1996,3.1,1.056956876,1.346326508,0.801290477,0.847328244,,0.719234659,1.840851678,0.432579891,0.506497948,0.743496992,1.059405941,0.9861783,1.103233831,1.170731707,0.986548809,3.166666667,1.096866097,1.433430922,0.723829276,0.700793612,0.795184687,1.23627052,0.664327115,1.588505127,1.212972462,0.597265364,0.470152869,2.181458622,1.08098233,0.937875244,2.683322548,0.427045982,0.53476273,,1.139968499,,0.45,0.3,1.31,0.7,1.38,0.194,0.4,0.52,0.81,0.77,1,1,1,0.58,1,1.16,11.53051744,0.097070968,8.137616793,1.017583663,10.1811433,34.05843226,10.19969368
1997,2.475,0.844589097,1.75528304,0.604492771,0.303816794,,0.922370196,2.887766149,0.458820473,1.081737346,0.663184848,0.853135314,0.611264686,0.723436389,0.975609756,0.238662567,1.533333333,0.98005698,1.070960546,0.771349562,0.807973849,0.715840942,1.0717082,0.65521991,0.943457504,1.176535682,0.645382077,0.371255731,1.046689591,2.707631271,0.485335486,1.675978462,0.17610221,0.84275928,0.457483604,0.729058887,,0.4,0.3,1.19,0.69,1.06,0.184,0.46,0.52,0.78,0.78,1,1,1,0.56,1,1.07,11.55167859,0.664080453,8.118619919,1.134168326,11.16696543,34.00178432,11.20065699
