"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"Cod (adult)","Crangon (commercial size)","Dab","Demersal fish","Epifaunal macrobenthos (mobile grazers)","Herring (adult)","Horse mackerel","Infaunal macrobenthos","Large crabs + shrimps","Mackerel","ND","Other flatfish","Other gadoids","Pelagic fish","Plaice (adult)","Rays","Sandeels","Sea bass","Sessile epifauna","Sharks","Sole (adult)","Sprat","Squid & cuttlefish","Whiting (adult)"
" 2689","    0","  601"," 1315","    0","60143","    7","    0","    0","    4","    0","  983","   55","  138"," 6657"," 3548","    0","    0","    0"," 2006"," 2254"," 3444","    0"," 1668"
" 1617","    0","  790"," 1410","    0","57288","    7","    0","    0","   16","    0"," 1121","   30"," 1660"," 7777"," 3682","    0","    0","    0"," 2070"," 2545"," 3081","    0"," 2221"
" 1654","    0","  870"," 1275","    0","75338","    4","    0","    0"," 4903","    0"," 1588","  238","   59"," 7677"," 4138","    0","    0","    0"," 1352"," 2858"," 2636","    0","10474"
" 1601","    0","  640"," 1562","    0","85890","   22","    0","    0","10060","    9"," 1969","  262","  283"," 9120"," 4191","    0","    0","    0"," 1527"," 3974"," 4395","    0"," 9795"
"  928","    0","  468"," 1015","    0","62979","    7","    0","    0","  619","    0"," 1358","   72","  298"," 6874"," 3774","    0","    0","    0"," 1186"," 2221"," 4404","    0"," 2041"
"  954","    0","  565"," 1070","    0","49574","   14","    0","    0","10541","    0"," 1390","   83","  221"," 7430"," 4193","    0","    0","    0"," 1200"," 2097"," 4560","    0","10393"
" 1994","    0","  553"," 1732","    0","35694","   28","    0","    0"," 3592","    0"," 1514"," 4565","  157"," 6472"," 4143","    0","    0","    0","  873"," 2637"," 5953","    0","10305"
" 2231","    0","  552"," 2368","    0","42107","    8","    0","    0"," 9529","    0"," 1581"," 5898","  346"," 6550"," 3986","    0","    0","    0"," 1402"," 2874"," 2519","    0","17481"
" 4292"," 2383"," 1587"," 2013"," 4015","67222","   38"," 4931","  516"," 5627","   95"," 2930"," 3950"," 1952","14472"," 3742"," 1522","    0","  216"," 2186"," 5323"," 8354","   49","10123"
"  5824","  2794","  1359","  1951","  4279","139070","    14","  5347","   603","  7693","    47","  2335","  5048","  3599"," 14490","  4077","  5062","     0","   218","  1941","  5137"," 10899","    98"," 11313"
" 7767"," 1447"," 1200"," 1024"," 4882","51221","   28"," 6344","  626","  562","  173"," 2080","  347"," 2367","12281"," 3696","    3","    0","  210"," 1140"," 5692"," 4827","  247"," 6441"
