"Country","Species","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","EwE_FG"
"Belgium","Anglerfishes nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,6,7,"Demersal fish"
"Belgium","Atlantic redfishes nei",0,0,0,0,0,0,0,0,0.5,2,3,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Belgium","Atlantic wolffish",1,1,6,1,0,4,0,2,0,1,2,3,0,0.5,0,0,0,0,0.5,0,"Demersal fish"
"Belgium","Demersal percomorphs nei",189,179,385,381,287,630,485,248,158,187,106,107,44,46,35,26,17,25,27,22,"Demersal fish"
"Belgium","European conger",3,0,1,2,1,3,2,1,1,1,5,6,3,3,2,1,1,2,1,1,"Demersal fish"
"Belgium","European hake",2,1,2,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,"Demersal fish"
"Belgium","Finfishes nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Belgium","Grey gurnard",10,18,32,13,8,16,13,5,4,10,4,7,4,3,2,1,1,1,3,3,"Demersal fish"
"Belgium","Gurnards, searobins nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,51,71,0,0,"Demersal fish"
"Belgium","John dory",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Belgium","Ling",5,11,9,6,3,6,3,2,3,4,3,2,2,1,1,1,1,1,1,1,"Demersal fish"
"Belgium","Monkfishes nei",13,12,34,37,26,28,17,17,11,15,15,16,9,5,4,0,0,0,0,0,"Demersal fish"
"Belgium","Porgies, seabreams nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Belgium","Red gurnard",17,9,17,16,12,15,9,11,9,15,25,26,18,15,14,15,10,15,17,7,"Demersal fish"
"Belgium","Tub gurnard",39,30,38,60,50,37,39,29,32,73,113,92,61,52,50,0,0,0,72,64,"Demersal fish"
"Denmark","Angler(=Monk)",2,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0,0,"Demersal fish"
"Denmark","Atlantic redfishes nei",0,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Denmark","Atlantic wolffish",1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Denmark","Blackspot(=red) seabream",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Denmark","Demersal percomorphs nei",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Denmark","European eel",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Denmark","European hake",1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,"Demersal fish"
"Denmark","European perch",0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,"Demersal fish"
"Denmark","Finfishes nei",2,21,3,2,0.5,3,3,5,0,4,2,0.5,1,1,1,1,0,0,0,0,"Demersal fish"
"Denmark","Golden redfish",0,0.5,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Denmark","Grey gurnard",2,8,1,6,1,8,3,5,2,1,1,0.5,0.5,2,1,4,1,1,1,3,"Demersal fish"
"Denmark","Gurnards, searobins nei",0,0,0,2,0.5,0.5,2,2,1,0,0,3,5,9,11,18,10,6,9,14,"Demersal fish"
"Denmark","Ling",1,0.5,1,1,0.5,1,0.5,0.5,1,0.5,1,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,"Demersal fish"
"Denmark","Lumpfish(=Lumpsucker)",0,0,0,0.5,0,0.5,0,0.5,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,"Demersal fish"
"Denmark","Mullets nei",0.5,0.5,0,1,0.5,2,1,2,0.5,0.5,0.5,0.5,2,4,4,16,2,1,1,1,"Demersal fish"
"Denmark","Sea trout",0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0.5,0,0,0,0,"Demersal fish"
"Denmark","Tub gurnard",0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Denmark","Tusk(=Cusk)",0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,"Demersal fish"
"Denmark","Twaite shad",0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,"Demersal fish"
"Denmark","Wolffishes(=Catfishes) nei",0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0,0,"Demersal fish"
"France","Atlantic redfishes nei",1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"France","Ballan wrasse",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"Demersal fish"
"France","Black seabream",30,27,38,20,30,8,16,16,0,9,23,22,12,9,12,12,116,102,51,27,"Demersal fish"
"France","Blue ling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,"Demersal fish"
"France","Boxlip mullet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Demersal fish"
"France","Demersal percomorphs nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"France","European conger",4,1,2,1,2,2,2,3,0,2,4,3,2,0.5,1,1,1,0,1,2,"Demersal fish"
"France","European eel",18,6,5,6,5,6,0,4,0,2,2,2,0.5,2,0,0,0,0,0,0,"Demersal fish"
"France","European hake",0,1,0,0,0,0,0,2,0,1,0,0,0,3,0,0,0.5,0,1,1,"Demersal fish"
"France","Finfishes nei",47,36,49,80,68,55,49,43,0,167,1078,14,7,52,50,0,0,0,0,0,"Demersal fish"
"France","Gilthead seabream",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,"Demersal fish"
"France","Greater weever",0,0,0,0,0,0,0,0,0,1,3,1,1,0.5,2,0,1,0,2,1,"Demersal fish"
"France","Grey gurnard",16,16,21,20,22,13,17,9,0,4,16,8,3,2,1,1,1,1,2,4,"Demersal fish"
"France","Gurnards nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"France","Gurnards, searobins nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"Demersal fish"
"France","John dory",0,0,0,1,0,0,0,4,0,0.5,1,1,1,0,0,1,1,0,3,2,"Demersal fish"
