Species,Area,Units,Country,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,Latin species name,English,Spanish,French,EwE_FG
CEP,27.4.c,TLW,DK,0,0,0,0,0,1.71,3.22,0.15,0,0,0,0,0,0,0,0,Cephalopoda,Cephalopods nei,Cefalópodos nep,Céphalopodes nca,Squid & cuttlefish
CTC,27.4.c,TLW,BE,21,14.7,10.5,3.8,13.2,18.5,39.8,48.8,22.1,32.6,10.9,33.4,46.2,53.3,33.4,57.3,Sepia officinalis,Common cuttlefish,Sepia común,Seiche commune,Squid & cuttlefish
CTC,27.4.c,TLW,FR,9.696,33.861,20.135,34.658,21.95,61.15,84.42,33.18,118.08,41.28,37.27,95.7,73.3,4,0.8,2.2,Sepia officinalis,Common cuttlefish,Sepia común,Seiche commune,Squid & cuttlefish
CTC,27.4.c,TLW,NL,235.902,370.824,384.556,57.829,70.64,194.5,91.6,95.7,111,199,35,151,63,133,174,295,Sepia officinalis,Common cuttlefish,Sepia común,Seiche commune,Squid & cuttlefish
CTL,27.4.c,TLW,DK,0,0,0,0,0,0,0,0,0.02,0.06,0.1,0.01,0.01,0.01,2,0.01,"Sepiidae, Sepiolidae","Cuttlefish, bobtail squids nei","Sepias,choquitos,globitos nep","Seiches, sépioles nca",Squid & cuttlefish
CTL,27.4.c,TLW,FR,0.03,0,0,0,0.64,0.17,0.69,0.04,0.27,0.02,0.11,0.8,0,69.1,88.5,85.1,"Sepiidae, Sepiolidae","Cuttlefish, bobtail squids nei","Sepias,choquitos,globitos nep","Seiches, sépioles nca",Squid & cuttlefish
CTL,27.4.c,TLW,GB,0,9.9361,6.0985,3.146,6.32,10.09,10.89,1.95,3.76,6.6,4.4,6.8,8.2,2.01,4,3.01,"Sepiidae, Sepiolidae","Cuttlefish, bobtail squids nei","Sepias,choquitos,globitos nep","Seiches, sépioles nca",Squid & cuttlefish
CTL,27.4.c,TLW,NL,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,"Sepiidae, Sepiolidae","Cuttlefish, bobtail squids nei","Sepias,choquitos,globitos nep","Seiches, sépioles nca",Squid & cuttlefish
EOI,27.4.c,TLW,NL,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eledone cirrosa,Horned octopus,Pulpo blanco,Élédone commune,Squid & cuttlefish
ILL,27.4.c,TLW,FR,12.279,59.229,143.289,169.206,37.22,72.5,23.3,99.01,7.57,6.58,4.39,0,0,0,0,0,Illex spp,Shortfin squids nei,Potas Illex nep,Encornets rouges nca,Squid & cuttlefish
OCC,27.4.c,TLW,FR,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Octopus vulgaris,Common octopus,Pulpo común,Pieuvre,Squid & cuttlefish
