"Country","Species","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","EwE_FG"
"Belgium","Common cuttlefish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,35,84,113,154,87,39,36,72,121,110,206,65,103,57,57,33,53,46,33,"Squid & cuttlefish"
"Belgium","Common squids nei",0,0,0,0,0,0,0,0,0,0,0,35,22,36,13,67,22,17,40,44,162,45,47,94,29,78,24,222,59,21,7,23,37,107,79,69,67,62,50,68,142,9,13,25,13,15,5,4,4,5,12,20,40,18,12,10,9,7,10,17,10,"Squid & cuttlefish"
"Belgium","Octopuses nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,0,2,1,1,1,1,0,0,0,1,0,0,0,"Squid & cuttlefish"
"Denmark","Cuttlefish,bobtail squids nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,2,0.5,0.5,0,"Squid & cuttlefish"
"Denmark","Northern shortfin squid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,"Squid & cuttlefish"
"France","Argentine shortfin squid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Squid & cuttlefish"
"France","Cephalopods nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Squid & cuttlefish"
"France","Common cuttlefish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,73,96,"Squid & cuttlefish"
"France","Cuttlefish,bobtail squids nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,132,0,4,0.5,0,14,94,108,74,3,17,39,63,118,43,111,173,191,233,173,51,140,0,420,184,217,162,120,116,85,89,69,0,1,"Squid & cuttlefish"
"France","Inshore squids nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,93,414,125,"Squid & cuttlefish"
"France","Various squids nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,300,0,4,20,0,1,22,6,34,25,7,31,45,126,42,93,97,103,118,298,193,188,85,121,93,0,165,237,662,460,246,146,117,0,0,0,0,"Squid & cuttlefish"
"Germany","European squid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,"Squid & cuttlefish"
"Germany","Various squids nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,2,1,6,1,2,2,3,4,4,1,1,0,0,0,0,"Squid & cuttlefish"
"Netherlands","Common cuttlefish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,118,363,229,352,146,295,174,133,63,151,"Squid & cuttlefish"
"Netherlands","Common squids nei",0,0,0,0,0,0,0,0,0,0,0,42,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Squid & cuttlefish"
"Netherlands","Cuttlefish,bobtail squids nei",0,0,0,0,0,0,0,0,49,98,247,0,0,0,0,0,0,0,0,0,78,0,39,30,46,35,67,74,5,5,10,24,33,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Squid & cuttlefish"
"Netherlands","Octopuses, etc. nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,"Squid & cuttlefish"
"Netherlands","Various squids nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758,137,195,104,93,38,27,83,77,86,53,"Squid & cuttlefish"
"UK - Eng+Wales+N.Irl.","Common squids nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,4,3,10,12,3,3,2,2,4,12,5,2,2,3,2,2,2,3,1,"Squid & cuttlefish"
"UK - Eng+Wales+N.Irl.","Cuttlefish,bobtail squids nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,15,26,22,47,165,90,22,28,22,14,5,4,2,2,3,3,3,2,8,7,"Squid & cuttlefish"
"UK - Eng+Wales+N.Irl.","Octopuses, etc. nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,0.5,4,8,4,1,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,"Squid & cuttlefish"
"UK - Eng+Wales+N.Irl.","Various squids nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,"Squid & cuttlefish"
"UK - England & Wales","Common cuttlefish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Squid & cuttlefish"
"UK - England & Wales","Common squids nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Squid & cuttlefish"
"UK - England & Wales","Cuttlefish,bobtail squids nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Squid & cuttlefish"
"UK - England & Wales","Octopuses, etc. nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Squid & cuttlefish"
"UK - England & Wales","Various squids nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,2,0.5,1,0.5,1,0.5,1,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Squid & cuttlefish"
"UK - Scotland","Common squids nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.5,0.5,0,"Squid & cuttlefish"
"UK - Scotland","Cuttlefish,bobtail squids nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,2,1,0.5,1,0.5,0,0,"Squid & cuttlefish"
"UK - Scotland","Various squids nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,1,0.5,0.5,1,0.5,1,0,1,2,0,1,0,0,0,0,0,"Squid & cuttlefish"
