"","unique(na_ewE_FG$English)"
"1","Small sandeel"
"2","Aesop shrimp"
"3","Hooknose"
"4","Albacore"
"5","Greater amberjack"
"6","Iceland catshark"
"7","Asp"
"8","Artic cod"
"9",NA
"10","Boarfish"
"11","Black seabass"
"12","Atlantic bumper"
"13","Sand tiger shark"
"14","Rudderfish"
"15","Cephalopods nei"
"16","Atlantic surf clam"
"17","Rabbit fish"
"18","Crangon shrimps nei"
"19","Portunus swimcrabs nei"
"20","Pullet carpet shell"
"21","Sea cucumbers nei"
"22","Crevalle jack"
"23","Portuguese dogfish"
"24","Dogfishes nei"
"25","Queen snapper"
"26","Horned octopus"
"27","Black cardinal fish"
"28","Pod razor shell"
"29","Velvet belly"
"30","Grass carp(=White amur)"
"31","Threadsail filefish"
"32","Winter flounder"
"33","Flatfishes nei"
"34","Roach"
"35","Greenland halibut"
"36","Gulper shark"
"37","Mediterranean horse mackerel"
"38","False scad"
"39","Ratfishes nei"
"40","Blue-leg swimcrab"
"41","Deep-sea red crab"
"42","Seerfishes nei"
"43","Smooth callista"
"44","Four-spot megrim"
"45","Lefteye flounders nei"
"46","Dragonet"
"47","Golden grey mullet"
"48","Ocean sunfish"
"49","Red mullet"
"50","True lobsters,lobsterettes nei"
"51","Norway pout"
"52","Orange roughy"
"53","Flat and cupped oysters nei"
"54","Common periwinkle"
"55","Pompanos nei"
"56","Northern prawn"
"57","Golden redfish"
"58","Sailray"
"59","Starry ray"
"60","Round ray"
"61","Roundnose grenadier"
"62","Madeiran sardinella"
"63","Atlantic bay scallop"
"64","Starry smooth-hound"
"65","Arrowhead dogfish"
"66","Blackmouth catshark"
"67","Dogfish sharks, etc. nei"
"68","Silversides(=Sand smelts) nei"
"69","Sardinellas nei"
"70","Smooth hammerhead"
"71","Argentine shortfin squid"
"72","Veined squid"
"73","Northern shortfin squid"
"74","Longfin squid"
"75","Striped venus"
"76","Goldsinny-wrasse"
"77","Thickback soles nei"
"78","Lesser weever"
"79","Weeverfishes nei"
"80","Houndsharks,smoothhounds nei"
"81","Electric ray"
"82","Solid surf clam"
"83","Sea urchins, etc. nei"
"84","Common otter shell"
"85","Warty venus"
"86","Spiny lobsters nei"
"87","Yellowtail flounder"
