Species,EwE_FG
Aesop shrimp,Large crabs + shrimps
Albacore,ND
Alexandria pompano,ND
Allis and twaite shads,Demersal fish
Allis shad,Pelagic fish
Amer. plaice(=Long rough dab),Other flatfish
Angelshark,Sharks
Angler(=Monk),Demersal fish
Anglerfishes nei,Demersal fish
Aquatic invertebrates nei,ND
Arctic skate,Rays
Argentine shortfin squid,Squid & cuttlefish
Argentines,Pelagic fish
Arrowhead dogfish,Sharks
Artic cod,Other gadoids
Asp,ND
Atlantic bay scallop,Epifaunal macrobenthos (mobile grazers)
Atlantic bumper,Pelagic fish
Atlantic surf clam,Infaunal macrobenthos
Atlantic bonito,ND
Atlantic cod,Cod (adult)
Atlantic halibut,Other flatfish
Atlantic herring,Herring (adult)
Atlantic horse mackerel,Horse mackerel
Atlantic mackerel,Mackerel
Atlantic pomfret,Pelagic fish
Atlantic redfishes nei,Demersal fish
Atlantic salmon,ND
Atlantic searobins,Demersal fish
Atlantic wolffish,Demersal fish
Ballan wrasse,Demersal fish
Barracudas nei,ND
Beaked redfish,ND
Bigeye tuna,ND
Black cardinal fish,ND
Black seabass,ND
Black scabbardfish,Demersal fish
Black scorpionfish,Demersal fish
Black seabream,Demersal fish
Blackmouth catshark,Sharks
Blackspot(=red) seabream,Demersal fish
Blonde ray,Rays
Blue ling,Demersal fish
Blue mackerel,ND
Blue mussel,Epifaunal macrobenthos (mobile grazers)
Blue shark,Sharks
Blue skate,Rays
Blue whiting(=Poutassou),Other gadoids
Blue-leg swimcrab,Large crabs + shrimps
Bluntnose sixgill shark,Sharks
Boarfish,ND
Bogue,Demersal fish
Boto,ND
Boxlip mullet,Demersal fish
Brachypterois serrulata,Demersal fish
Brill,Other flatfish
Brown seaweeds,ND
Brownspotted catshark,Sharks
Bythites islandicus,Demersal fish
Canary drum(=Baardman),Demersal fish
Carangids nei,Horse mackerel
Cartilaginous fishes nei,ND
"Catsharks, etc. nei",Sharks
"Catsharks, nursehounds nei",Sharks
Cephalopods nei,Squid & cuttlefish
Cetopsogiton occidentalis,ND
Chilean jack mackerel,ND
Chilean nylon shrimp,Large crabs + shrimps
Chinese mitten crab,Large crabs + shrimps
Chub mackerel,ND
"Clams, etc. nei",Infaunal macrobenthos
Combtooth blennies,Demersal fish
Common European bittersweet,Infaunal macrobenthos
Common otter shell,Infaunal macrobenthos
Common periwinkle,Epifaunal macrobenthos (mobile grazers)
Common carp,ND
Common cuttlefish,Squid & cuttlefish
Common dab,Dab
Common dentex,Demersal fish
Common dolphinfish,ND
Common edible cockle,Infaunal macrobenthos
Common mora,Demersal fish
Common octopus,Squid & cuttlefish
Common prawn,Large crabs + shrimps
Common shrimp,Crangon (commercial size)
Common sole,Sole (adult)
Common squids nei,Squid & cuttlefish
Common stingray,Rays
Crangon shrimps nei,Crangon (commercial size)
Crangonid shrimps nei,Crangon (commercial size)
Crevalle jack,ND
Cuckoo ray,Rays
Cupped oysters nei,Sessile epifauna
Curimata cyprinoides,ND
"Cuttlefish, bobtail squids nei",Squid & cuttlefish
Deep-sea red crab,Large crabs + shrimps
Demersal percomorphs nei,Demersal fish
Diadromous fishes nei,ND
"Dogfish sharks, etc. nei",Sharks
Dogfish sharks nei,Sharks
Dogfishes nei,Sharks
Dogfishes and hounds nei,Sharks
Dolly varden,ND
Donets ruffe,Demersal fish
Dragonet,Demersal fish
Dusky shark,Sharks
Edible crab,Large crabs + shrimps
Electric ray,Rays
European anchovy,Pelagic fish
European conger,Demersal fish
European eel,Demersal fish
European flat oyster,Sessile epifauna
European flounder,Other flatfish
European flying squid,Squid & cuttlefish
European hake,Demersal fish
European lobster,Large crabs + shrimps
European perch,Demersal fish
European pilchard(=Sardine),Pelagic fish
European plaice,Plaice (adult)
European seabass,Sea bass
European smelt,Pelagic fish
European sprat,Sprat
European squid,Squid & cuttlefish
False scad,ND
Finfishes nei,Demersal fish
Flat and cupped oysters nei,Sessile epifauna
Flatfishes nei,Other flatfish
Flathead grey mullet,Demersal fish
Four-spot megrim,Other flatfish
Freshwater fishes nei,ND
Freshwater bream,Demersal fish
Gadiformes nei,Other gadoids
Garfish,Large crabs + shrimps
Gilthead seabream,Demersal fish
Golden grey mullet,Demersal fish
Golden redfish,Demersal fish
Goldsinny-wrasse,ND
Grass carp(=White amur),ND
Great Atlantic scallop,Epifaunal macrobenthos (mobile grazers)
Great white shark,Sharks
Greater amberjack,ND
Greater argentine,Demersal fish
Greater forkbeard,Demersal fish
Greater weever,Demersal fish
Green crab,Large crabs + shrimps
Greenland halibut,ND
Grenadiers nei,Demersal fish
Grey gurnard,Demersal fish
Grooved carpet shell,Infaunal macrobenthos
Groundfishes nei,Demersal fish
"Groupers, seabasses nei",ND
Gulper shark,Sharks
Gurnards nei,Demersal fish
"Gurnards, searobins nei",Demersal fish
Haddock,Other gadoids
"Hairtails, scabbardfishes nei",Demersal fish
Hairy toadfish,Demersal fish
"Herrings, sardines nei",Herring (adult)
Hooknose,ND
Horned octopus,Squid & cuttlefish
"Houndsharks,smoothhounds nei",Sharks
Iceland catshark,Sharks
Inshore squids nei,Squid & cuttlefish
Jack and horse mackerels nei,Horse mackerel
Japanese catshark,Sharks
John dory,Demersal fish
"Jonah crabs, rock crabs nei",Large crabs + shrimps
Leerfish,ND
Lefteye flounders nei,Other flatfish
Lemon sole,Other flatfish
Lesser weever,Demersal fish
Ling,Demersal fish
Longfin squid,Squid & cuttlefish
Longnose chimaeras,Demersal fish
Lumpfish(=Lumpsucker),Demersal fish
Madeiran sardinella,Pelagic fish
Manila clam,Infaunal macrobenthos
Marine crabs nei,Large crabs + shrimps
Marine crustaceans nei,Large crabs + shrimps
Marine fishes nei,Pelagic fish
Marine molluscs nei,ND
Meagre,Demersal fish
Mediterranean horse mackerel,ND
Megrim,Other flatfish
Megrims nei,Other flatfish
Monkfishes nei,Demersal fish
Mouse catshark,Sharks
Mugil spp,Pelagic fish
Mullets nei,Demersal fish
Mytilus mussels nei,Epifaunal macrobenthos (mobile grazers)
NA,ND
Natantian decapods nei,Large crabs + shrimps
Northern bluefin tuna,ND
Northern prawn,Large crabs + shrimps
Northern shortfin squid,Squid & cuttlefish
Northern pike,ND
Northern quahog(=Hard clam),Infaunal macrobenthos
Norway pout,Other gadoids
Norway lobster,Large crabs + shrimps
Nursehound,Sharks
Ocean sunfish,ND
Octopuses nei,Squid & cuttlefish
"Octopuses, etc. nei",Squid & cuttlefish
Ommastrephidae squids nei,Squid & cuttlefish
Orange roughy,ND
Other,ND
Pacific calico scallop,Epifaunal macrobenthos (mobile grazers)
Pacific cupped oyster,Sessile epifauna
Palinurid spiny lobsters nei,Sharks
Pandalus shrimps nei,Large crabs + shrimps
Pargo breams nei,Demersal fish
Patagonian toothfish,Demersal fish
Pelagic fishes nei,Pelagic fish
Pelagic percomorphs nei,Pelagic fish
Pencil snakelet,Demersal fish
Periwinkles nei,Epifaunal macrobenthos (mobile grazers)
Philypnodon grandiceps,Demersal fish
Picarel,Demersal fish
Picked dogfish,Sharks
Pike-perch,ND
Piper gurnard,Demersal fish
Pod razor shell,Infaunal macrobenthos
Pollack,Other gadoids
Pompanos nei,ND
Porbeagle,Sharks
"Porgies, seabreams nei",Demersal fish
Portuguese dogfish,Sharks
Portunus swimcrabs nei,Large crabs + shrimps
Pouting(=Bib),Other gadoids
Pullet carpet shell,Infaunal macrobenthos
Pygmy shore-eel,Demersal fish
Queen snapper,ND
Queen scallop,Epifaunal macrobenthos (mobile grazers)
Rabbit fish,ND
Raja rays nei,Rays
Ratfishes nei,Demersal fish
Rays and skates nei,Rays
"Rays, stingrays, mantas nei",Rays
Razor clams nei,Infaunal macrobenthos
Red mullet,ND
Red gurnard,Demersal fish
Righteye flounders nei,Other flatfish
