"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"Cod (adult)","Crangon (commercial size)","Dab","Demersal fish","Epifaunal macrobenthos (mobile grazers)","Herring (adult)","Horse mackerel","Infaunal macrobenthos","Large crabs + shrimps","Mackerel","ND","Other flatfish","Other gadoids","Pelagic fish","Plaice (adult)","Rays","Sandeels","Sea bass","Sessile epifauna","Sharks","Sole (adult)","Sprat","Squid & cuttlefish","Whiting (adult)"
"   52.1670","10657.2990","  732.4922"," 2151.5858","  985.7270"," 9183.4569"," 1589.4719","17621.3470","  143.3030"," 1024.7244","    1.7550"," 1279.1881","  186.7418"," 1156.5286"," 4318.3193","  660.2554","    0.0470","  281.2938","   50.4150","  405.1300"," 5473.9639"," 4137.8810","  818.6400"," 1318.3036"
"   72.2476","15322.5348"," 1192.9186"," 3167.9188"," 6234.1655"," 3027.8044"," 1054.0100","19515.2874"," 1193.8541","  823.4053","   18.3417"," 2979.4424","  188.6552","  318.8603"," 5442.4998","  732.2086","  219.9174","  281.5411","   39.7989","  461.9057"," 5547.9268"," 5075.3346"," 1991.2711"," 1503.2000"
"   91.1489","14665.2185"," 1081.0945"," 2861.0023"," 5988.8735"," 1636.7159"," 1215.1715","18373.0705"," 1279.7469","  726.0328","    1.9260"," 2746.1685","  248.9667","  102.5624"," 6601.7646","  913.0545"," 1951.0120","  237.9257","    9.6940","  624.5633"," 6602.4428"," 9616.3733"," 1772.1999"," 1698.1917"
"  196.273","22713.291"," 1136.865"," 2119.400"," 4154.494"," 2270.659"," 1182.137","15285.245"," 1147.989","  822.610","    6.358"," 2911.117","  301.038","  207.376"," 8624.169"," 1028.533","  158.000","  212.473","   21.331","  493.450"," 8360.323"," 7730.268","  972.917"," 1288.766"
"  204.09","12128.08"," 1069.31"," 2634.22"," 3692.00"," 1861.89"," 2445.61","12646.67"," 1181.94","  735.09","    2.74"," 2979.45","  405.93"," 1240.43"," 9818.60","  957.34","  197.00","  183.59","   26.85","  496.84"," 8981.72"," 3313.85","  532.22"," 1291.97"
"  720.50","16152.38"," 1916.67"," 3557.72"," 3976.05"," 3220.88","  791.99","11116.69"," 1010.18","  767.64","    4.04"," 3515.65","  317.72","  283.60","10198.42","  627.20","    2.58","  224.04","   45.43","  616.31"," 8946.93","28329.36"," 1047.19"," 1976.45"
" 1386.64","14781.90"," 2040.11"," 2799.10"," 3348.35","  967.20","  717.76","16502.96","  892.80","  575.21","    6.57"," 3558.47","  212.86","  430.83","10713.33","  660.25"," 5078.92","  309.33","    5.36","  666.32"," 8851.20","52697.27","  491.85"," 1066.65"
" 1309.02","18816.42"," 2153.68"," 2290.39"," 3390.30"," 3171.45"," 2281.23","15128.00","  911.54","  510.74","    3.65"," 3541.32","  164.10","  277.36","13675.89","  783.57","    2.62","  494.79","    8.19","  557.29"," 9679.25"," 2657.49"," 1182.16"," 1113.61"
" 1033.03","16076.45"," 2144.03"," 1641.24"," 3417.16"," 2315.16","  943.32","10888.81","  893.96","  761.09","   17.42"," 3444.27","  175.18","  291.43","14523.24","  921.90"," 5899.63","  505.71","   74.28","  493.76","10411.42","20659.66","  380.66"," 1007.67"
" 1632.41","11624.72"," 2845.54"," 1379.61"," 2939.11"," 3745.84"," 1424.74"," 4916.01","  701.21","  454.78","  916.30"," 3815.33","  233.95","  300.18","11756.57","  876.11","    3.28","  510.24","   70.10","  476.83"," 9062.45"," 9232.51","  390.81"," 1096.38"
" 2095.26","11072.51"," 3030.89"," 1622.71"," 5416.65"," 2986.75"," 2151.04"," 6174.38","  764.31","  614.58","   16.47"," 4521.50","  297.12","  241.39","14743.28","  803.12"," 6566.49","  611.74","  205.50","  590.48"," 8361.27","35785.32","  249.79"," 1335.31"
" 3285.00","15991.70"," 3861.90","  829.23"," 1165.00"," 2293.00"," 2380.40"," 3783.40","  832.33","  718.31","    6.00"," 4345.32","  455.12","  542.91","16109.90","  700.60","  309.00","  732.50","   97.40","  562.02"," 9052.50","56602.04","  477.01"," 2091.10"
" 4121.20","15384.80"," 3842.90"," 1840.09","  765.12"," 3091.70","10964.30"," 3317.62","  731.67","  648.80","    6.32"," 4011.87","  546.97","  528.24","13851.20","  979.74","  760.10","  695.52","   89.70","  493.88"," 9838.10","11741.10","  711.14"," 2528.90"
" 2628.11","10857.50"," 4342.50"," 2042.62","  713.31"," 1314.70","12114.31","14759.00"," 1279.19","  255.31","    3.73"," 3879.21","  335.00","  644.05","11260.01"," 1126.26"," 1441.30","  547.52","   37.00","  378.07"," 9110.81"," 8983.40","  444.04"," 1324.80"
" 1829.00"," 9983.50"," 4268.30"," 2221.14","  466.30"," 2396.30","23324.61","11661.50"," 1350.05","  241.50","    8.74"," 4680.36","  378.29","  175.36","10873.50"," 1118.01","  806.50","  543.90","   24.50","  398.66"," 9163.60","26202.60","  495.51"," 1215.41"
" 1783.60"," 9944.60"," 3019.20"," 1581.13","  441.92"," 5454.70","23713.50","11800.00"," 1528.49","  250.20","    3.02"," 5526.69","  430.51","  710.74","12957.40"," 1146.90","10897.80","  550.80","    5.00","  380.76"," 8879.50","33614.41","  600.35"," 1727.80"
