Species,EwE_FG
Gurnards nei,Demersal fish
European flounder,Other flatfish
Finfishes nei,Demersal fish
Common dab,Dab
"Cuttlefish, bobtail squids nei",Squid & cuttlefish
Edible crab,Large crabs + shrimps
Marine crabs nei,Large crabs + shrimps
Atlantic cod,Cod (adult)
Seabasses nei,Sea bass
Brill,Other flatfish
Pouting(=Bib),Other gadoids
Whiting,Whiting (adult)
Turbot,Other flatfish
Common sole,Sole (adult)
Thornback ray,Rays
Rays and skates nei,Rays
European plaice,Plaice (adult)
Norway lobster,Large crabs + shrimps
Surmullet,Demersal fish
Angler(=Monk),Demersal fish
Ling,Demersal fish
Lemon sole,Other flatfish
Atlantic herring,Herring (adult)
European sprat,Sprat
Sandeels(=Sandlances) nei,Sandeels
Tope shark,Sharks
Atlantic mackerel,Mackerel
Witch flounder,Other flatfish
Pollack,Other gadoids
Mullets nei,Demersal fish
Picked dogfish,Sharks
Blue shark,Sharks
European anchovy,Pelagic fish
Greater weever,Demersal fish
Amer. plaice(=Long rough dab),Other flatfish
Lumpfish(=Lumpsucker),Demersal fish
Atlantic horse mackerel,Horse mackerel
Spotted ray,Rays
European hake,Demersal fish
Haddock,Other gadoids
Porbeagle,Sharks
Blonde ray,Rays
Cuckoo ray,Rays
Common shrimp,Crangon (commercial size)
European seabass,Sea bass
Common cuttlefish,Squid & cuttlefish
Various sharks nei,Sharks
Pelagic percomorphs nei,Pelagic fish
Grey gurnard,Demersal fish
Raja rays nei,Rays
Common squids nei,Squid & cuttlefish
Anglerfishes nei,Demersal fish
Megrims nei,Other flatfish
"Catsharks, nursehounds nei",Sharks
Jack and horse mackerels nei,Horse mackerel
Saithe(=Pollock),Other gadoids
Red gurnard,Demersal fish
Demersal percomorphs nei,Demersal fish
Atlantic wolffish,Demersal fish
European conger,Demersal fish
Great Atlantic scallop,Benthos
Atlantic redfishes nei,Demersal fish
Whelk,Benthos
Tub gurnard,Demersal fish
Atlantic halibut,Other flatfish
European lobster,Large crabs + shrimps
Octopuses nei,ND
Marine crustaceans nei,Large crabs + shrimps
"Clams, etc. nei",Benthos
Sandy ray,Rays
Blue skate,rays
