EwEVersion,"6.6.8.18072 (compiled 04/11/2022)"
Date,"04/03/2024 13:31:46"
ModelName,EMBENS_SP_DL
EcosimScenario,EMBENS_DL_test_1
TimeSeries,time_series_1991-2021_raja_incl_1991_2018
StartYear,1991

Timestep,"biomass (predicted) Cod.adult_B_rel","biomass (observed) Cod.adult_B_rel","biomass (predicted) Herring.adult_B_rel","biomass (observed) Herring.adult_B_rel","biomass (predicted) Whiting.adult_B_rel","biomass (observed) Whiting.adult_B_rel","biomass (predicted) Mackerel_B_rel","biomass (observed) Mackerel_B_rel","biomass (predicted) Sprat_B_rel","biomass (observed) Sprat_B_rel","biomass (predicted) Plaice.adult_B_rel","biomass (observed) Plaice.adult_B_rel","biomass (predicted) Sole.adult_B_rel","biomass (observed) Sole.adult_B_rel","biomass (predicted) OtherFlatfish_B_rel","biomass (observed) OtherFlatfish_B_rel","biomass (predicted) Dab_B_rel","biomass (observed) Dab_B_rel","biomass (predicted) Rays_B_rel","biomass (observed) Rays_B_rel","biomass (predicted) Sharks_B_rel","biomass (observed) Sharks_B_rel","biomass (predicted) OtherGadoids_B_rel","biomass (observed) OtherGadoids_B_rel","biomass (predicted) DemersalFish_B_rel","biomass (observed) DemersalFish_B_rel","biomass (predicted) SeaBass_B_rel","biomass (observed) SeaBass_B_rel","biomass (predicted) HorseMackerel_B_rel","biomass (observed) HorseMackerel_B_rel","biomass (predicted) PelagicFish_B_rel","biomass (observed) PelagicFish_B_rel","biomass (predicted) Sandeels_B_rel","biomass (observed) Sandeels_B_rel",
1,0.1600024,,1.482918,,0.335523,,0.5370066,,0.4715089,,0.5098625,,0.3189455,,0.100079,,5.145413,,0.8078922,,0.01200587,,0.2903346,,1.238648,,0.00353957,,1.551265,,0.05696315,,5.339625,,
2,0.1597279,,1.479176,,0.3405741,,0.5639887,,0.4526642,,0.5138056,,0.3250206,,0.1005736,,5.162954,,0.8081934,,0.01203916,,0.2922009,,1.236177,,0.003584337,,1.553125,,0.05923075,,5.195555,,
3,0.1591877,,1.484927,,0.3437914,,0.5888655,,0.4417247,,0.5115321,,0.3242031,,0.1006155,,5.164839,,0.806796,,0.01204468,,0.2917983,,1.227694,,0.003632482,,1.551559,,0.06188588,,5.080852,,
4,0.1586273,,1.505193,,0.3460578,,0.6122565,,0.4395374,,0.5054609,,0.3185909,,0.1004445,,5.15564,,0.8037415,,0.01204844,,0.2896177,,1.21533,,0.003686305,,1.547294,,0.06522582,,5.014378,,
5,0.1580743,,1.541828,,0.3477587,,0.6342871,,0.4460688,,0.4969861,,0.3092771,,0.1001932,,5.138694,,0.7990088,,0.01205966,,0.286204,,1.201528,,0.003746498,,1.541032,,0.0694645,,5.008481,,
6,0.1574684,0.8081816,1.595329,1.112833,0.3490342,0.4435665,0.6549245,2.918509,0.460881,0.2221116,0.486982,0.7517219,0.2968674,0.5176678,0.09995154,0.2178402,5.11724,21.2929,0.7925763,13.36238,0.01208023,0.007287358,0.2822617,3.350723,1.188848,2.811061,0.003811856,0.03489552,1.533547,2.974356,0.07475797,0.02230361,5.071102,11.80631,
7,0.1567428,,1.665171,,0.349943,,0.6740656,,0.4831905,,0.4760402,,0.2818002,,0.09978886,,5.094671,,0.7844478,,0.01210952,,0.2786016,,1.179193,,0.003880658,,1.525657,,0.08119385,,5.205323,,
8,0.1558528,,1.749758,,0.3505328,,0.6915461,,0.5118688,,0.4646004,,0.2659653,,0.09975363,,5.074475,,0.7746566,,0.01214655,,0.2760206,,1.173251,,0.003951546,,1.518155,,0.08877189,,5.40926,,
9,0.154778,,1.846393,,0.3508806,,0.7071232,,0.5454472,,0.4539462,,0.2534108,,0.09989547,,5.06006,,0.763247,,0.01218868,,0.2751739,,1.170417,,0.004023979,,1.511748,,0.09738252,,5.676393,,
10,0.153522,,1.951376,,0.3510916,,0.7204059,,0.5821242,,0.4444931,,0.2439237,,0.1002393,,5.054528,,0.7501757,,0.01223668,,0.276464,,1.167423,,0.004097134,,1.506782,,0.1067835,,5.995949,,
