EwEVersion,"6.6.8.18072 (compiled 04/11/2022)"
Date,"04/03/2024 13:31:46"
ModelName,EMBENS_SP_DL
EcosimScenario,EMBENS_DL_test_1
TimeSeries,time_series_1991-2021_raja_incl_1991_2018
StartYear,1991

Timestep,"catch (predicted)Sharks_C_rel","catch (observed) Sharks_C_rel","catch (predicted)Rays_C_rel","catch (observed) Rays_C_rel","catch (predicted)Cod.adult_C_rel","catch (observed) Cod.adult_C_rel","catch (predicted)Whiting.adult_C_rel","catch (observed) Whiting.adult_C_rel","catch (predicted)OtherGadoids_C_rel","catch (observed) OtherGadoids_C_rel","catch (predicted)DemersalFish_C_rel","catch (observed) DemersalFish_C_rel","catch (predicted)Herring.adult_C_rel","catch (observed) Herring.adult_C_rel","catch (predicted)Sprat_C_rel","catch (observed) Sprat_C_rel","catch (predicted)Mackerel_C_rel","catch (observed) Mackerel_C_rel","catch (predicted)HorseMackerel_C_rel","catch (observed) HorseMackerel_C_rel","catch (predicted)Sandeels_C_rel","catch (observed) Sandeels_C_rel","catch (predicted)Plaice.adult_C_rel","catch (observed) Plaice.adult_C_rel","catch (predicted)Dab_C_rel","catch (observed) Dab_C_rel","catch (predicted)OtherFlatfish_C_rel","catch (observed) OtherFlatfish_C_rel","catch (predicted)Sole.adult_C_rel","catch (observed) Sole.adult_C_rel","catch (predicted)SeaBass_C_rel","catch (observed) SeaBass_C_rel","catch (predicted)PelagicFish_C_rel","catch (observed) PelagicFish_C_rel","catch (predicted)SquidCuttlefish_C_rel","catch (observed) SquidCuttlefish_C_rel","catch (predicted)LargeCrabsShrimps _C_rel","catch (observed) LargeCrabsShrimps _C_rel","catch (predicted)Crangon.com_C_rel","catch (observed) Crangon.com_C_rel",
1,0.01140726,,0.02895839,,0.1504022,,0.1677615,,0.01379075,,0.1372658,,0.4597045,,0.4196429,,0.1449918,,0.05046276,,3.043586,,0.5222484,,0.06512737,,0.04981643,,0.1499044,,0.0005380146,,0.02278526,,0.003052823,,0.02941998,,0.1251918,,
2,0.0114389,,0.02896918,,0.1501443,,0.1702871,,0.0138794,,0.1369919,,0.4585446,,0.4028711,,0.1522769,,0.05052326,,2.961467,,0.5262873,,0.06534939,,0.05006263,,0.1527597,,0.0005448192,,0.0236923,,0.003086283,,0.02957843,,0.1306246,,
3,0.01144413,,0.0289191,,0.1496364,,0.1718957,,0.01386027,,0.1360519,,0.4603275,,0.393135,,0.1589937,,0.05047234,,2.896086,,0.5239586,,0.06537324,,0.0500835,,0.1523754,,0.0005521372,,0.02475435,,0.003121439,,0.02941086,,0.1288082,,
4,0.0114477,,0.02880961,,0.1491097,,0.1730289,,0.01375669,,0.1346817,,0.4666097,,0.3911883,,0.1653093,,0.0503336,,2.858195,,0.5177398,,0.06525681,,0.0499984,,0.1497377,,0.0005603184,,0.02609033,,0.003170772,,0.02891023,,0.1226346,,
5,0.01145837,,0.02863997,,0.1485899,,0.1738794,,0.01359455,,0.1331522,,0.4779667,,0.3970012,,0.1712575,,0.05012987,,2.854834,,0.5090592,,0.06504232,,0.04987328,,0.1453602,,0.0005694676,,0.0277858,,0.003243871,,0.02807297,,0.1130838,,
6,0.01147791,0.004788848,0.0284094,0.04049628,0.1480203,0.4219308,0.1745171,0.5248695,0.01340729,0.0298115,0.131747,,0.4945519,0.7047389,0.4101841,0.08854177,0.1768296,0.6312006,0.04988638,0.03305814,2.890528,5.274036,0.4988121,1.213824,0.06477077,0.08482019,0.04975299,0.09808062,0.1395277,0.2655052,0.0005794021,0.000909507,0.02990319,0.01841665,0.003348648,0.0009043759,0.02691902,0.05042415,0.1024039,0.1345966,
7,0.01150575,,0.02811804,,0.1473383,,0.1749715,,0.01323344,,0.1306771,,0.5162029,,0.4300396,,0.1819977,,0.04962973,,2.967034,,0.4876045,,0.06448511,,0.04967202,,0.1324461,,0.00058986,,0.03247754,,0.003490927,,0.02550336,,0.09378816,,
8,0.01154093,,0.02776708,,0.1465017,,0.1752664,,0.01311084,,0.1300185,,0.5424249,,0.4555632,,0.1867175,,0.04938569,,3.083278,,0.4758867,,0.06422948,,0.04965448,,0.1250037,,0.000600635,,0.03550876,,0.00367439,,0.02392219,,0.08379988,,
9,0.01158096,,0.02735811,,0.1454913,,0.1754403,,0.01307062,,0.1297045,,0.5723818,,0.485448,,0.1909233,,0.04917726,,3.235544,,0.4649737,,0.06404702,,0.04972509,,0.1191031,,0.0006116448,,0.03895301,,0.00390062,,0.0223099,,0.07400962,,
10,0.01162656,,0.02688958,,0.1443107,,0.1755458,,0.0131319,,0.1293727,,0.6049267,,0.5180905,,0.1945096,,0.04901573,,3.417691,,0.455291,,0.063977,,0.04989623,,0.1146441,,0.0006227644,,0.0427134,,0.004170713,,0.02089116,,0.0668868,,
11,0.01168008,,0.02636402,,0.1430221,,0.1757037,,0.01330329,,0.1288321,,0.6386855,,0.5515831,,0.1973667,,0.04892221,,3.621201,,0.4471677,,0.06405395,,0.05017826,,0.1115448,,0.0006341297,,0.04663979,,0.004484138,,0.01974913,,0.06420776,,
12,0.01174299,,0.02578835,,0.1416988,,0.1760474,,0.01358293,,0.1279193,,0.6721858,,0.5838268,,0.1993589,,0.04892071,,3.835726,,0.4409074,,0.0643056,,0.05057215,,0.1097383,,0.000645793,,0.05053166,,0.004838564,,0.01894725,,0.0676098,,
13,0.01181465,,0.02517745,,0.1362378,,0.1697428,,0.01396061,,0.1264192,,0.8358942,,0.6636867,,0.2151481,,0.04903539,,5.846797,,0.4367782,,0.064752,,0.05106997,,0.1136361,,0.0006661467,,0.05283913,,0.005228653,,0.01854505,,0.07835756,,
14,0.01189402,,0.02459736,,0.1353583,,0.170749,,0.01442096,,0.1242115,,0.8667192,,0.6854175,,0.2158714,,0.04929392,,6.032757,,0.4350456,,0.06540499,,0.05166043,,0.1141939,,0.000677912,,0.0558961,,0.005645904,,0.0185655,,0.09566098,,
15,0.01198273,,0.02405116,,0.1346067,,0.1721068,,0.01494612,,0.1212298,,0.8937616,,0.6994895,,0.2161656,,0.04972393,,6.195694,,0.4359476,,0.06626886,,0.05233337,,0.1164829,,0.0006894695,,0.05819441,,0.006077836,,0.01900613,,0.1166073,,
16,0.01208075,,0.02354231,,0.134039,,0.1738737,,0.01551729,,0.1175045,,0.9162493,,0.7043307,,0.2159455,,0.05034878,,6.322383,,0.4397857,,0.06734064,,0.05308069,,0.1207583,,0.0007007014,,0.05952395,,0.006507637,,0.01985134,,0.1381561,,
17,0.01218706,,0.02307909,,0.1336984,,0.1760769,,0.01611504,,0.1131727,,0.9331983,,0.698899,,0.2151724,,0.05118177,,6.401953,,0.4468665,,0.06861075,,0.05389322,,0.1271078,,0.0007115427,,0.05973449,,0.006914226,,0.02107926,,0.1601747,,
18,0.01230015,0.002873309,0.02268862,0.04850329,0.1336224,0.5214887,0.1787126,0.4549412,0.01671879,0.02535115,0.1084794,,0.9431797,0.8541928,0.6827365,0.2308604,0.2138497,0.1848176,0.05222122,0.03563235,6.426126,9.323357,0.4573363,1.021173,0.07006396,0.0800613,0.05475613,0.09608105,0.1354588,0.2529092,0.0007219743,0.0007098591,0.05875716,0.03362701,0.007273489,0.001567584,0.02266417,0.02438604,0.1827037,0.1432657,
19,0.01241824,,0.02239552,,0.133849,,0.1817495,,0.01730628,,0.1037567,,0.9437108,,0.6560019,,0.2120151,,0.05344826,,6.389133,,0.4711492,,0.07168066,,0.0556504,,0.1456011,,0.0007320413,,0.05662054,,0.007560946,,0.02457623,,0.2078281,,
20,0.01253934,,0.02221891,,0.1344184,,0.1851307,,0.01785359,,0.09938014,,0.9306476,,0.6195186,,0.2097341,,0.05482902,,6.287784,,0.4880555,,0.07343868,,0.05655427,,0.1572204,,0.0007418629,,0.0534577,,0.007755983,,0.02678051,,0.2392774,,
21,0.01266085,,0.02217083,,0.1353576,,0.188773,,0.01833615,,0.09571477,,0.8980498,,0.5748451,,0.2070931,,0.05632029,,6.12192,,0.5076228,,0.07531542,,0.05744532,,0.1699347,,0.0007516176,,0.04949732,,0.00784626,,0.02923675,,0.2791353,,
22,0.01277792,,0.02225604,,0.1366326,,0.1925505,,0.01873021,,0.09306048,,0.8366622,,0.5243123,,0.2041904,,0.05787425,,5.895243,,0.5292755,,0.07728982,,0.05830407,,0.1833346,,0.000761412,,0.04503368,,0.00782999,,0.03190056,,0.3258078,,
23,0.01288038,,0.02247209,,0.138072,,0.1962695,,0.01901441,,0.0915999,,0.7344592,,0.4709129,,0.2011233,,0.05944127,,5.616098,,0.552353,,0.07934402,,0.05911827,,0.1970223,,0.0007709884,,0.04037806,,0.007714326,,0.03472512,,0.371651,,
24,0.01294302,,0.02280035,,0.1392978,,0.1996756,,0.01917134,,0.09134829,,0.6389016,,0.4179575,,0.1979748,,0.06096897,,5.297682,,0.5761677,,0.08146418,,0.05988809,,0.2106461,,0.000779558,,0.03580852,,0.007510726,,0.03766268,,0.4025749,,
25,0.01297622,,0.02322061,,0.1505297,,0.2270095,,0.01918816,,0.09225664,,0.6531785,,0.5602684,,0.2079335,,0.06240039,,2.264258,,0.6001748,,0.08363979,,0.06063065,,0.2416025,,0.0007510253,,0.02918313,,0.007232449,,0.04066505,,0.4077806,,
26,0.01299498,,0.02371268,,0.1514578,,0.229111,,0.01906119,,0.09409624,,0.5816756,,0.4771722,,0.2043535,,0.06367902,,2.173805,,0.6241373,,0.08586589,,0.06138141,,0.2552419,,0.0007562682,,0.02570136,,0.006893823,,0.04368449,,0.3908428,,
27,0.01300805,,0.02425995,,0.1528426,,0.2308329,,0.0187983,,0.09665748,,0.5225105,,0.4143024,,0.2009479,,0.06474974,,2.068332,,0.6468998,,0.08814146,,0.06218643,,0.2679686,,0.0007605228,,0.0226922,,0.0065134,,0.04667616,,0.361742,,
28,0.01301969,,0.02485012,,0.1546979,,0.232263,,0.01842169,,0.09975767,,0.4725119,,0.369757,,0.1977587,,0.06556174,,1.95729,,0.6677267,,0.0904674,,0.06309129,,0.2793871,,0.0007648053,,0.02018893,,0.006117172,,0.04959957,,0.3309474,,
29,0.01303208,,0.0254735,,0.1570537,,0.2336315,,0.01796683,,0.1032294,,0.4297808,,0.3405925,,0.1948211,,0.06606849,,1.851955,,0.6862547,,0.09284423,,0.06413065,,0.2892894,,0.0007703375,,0.01818186,,0.005733443,,0.05241667,,0.3102061,,
