year,beam,demersal,dredge,hooks,nets,pelagic,pots,shrimp
1991,1,1,1,1,1,1,1,1
1992,1.16,0.97,1,1,1,1.17,1,1.04
1993,1.17,0.9,1,1,1,1.08,1,1.13
1994,1.1,0.89,1,1,1,0.88,1,1.22
1995,0.97,0.82,1,1,1,0.65,1,1.2
1996,0.81,0.77,1,1,1,0.58,1,1.16
1997,0.78,0.78,1,1,1,0.56,1,1.07
1998,0.73,0.72,1,1,1,0.39,1,0.84
1999,0.71,0.54,1,1,1,0.55,1,1.16
2000,0.63,0.47,1,1,1,0.61,1,1.07
2001,0.6,0.42,1,1,1,0.26,1,1.23
2002,0.46,0.3,1,1,1,0.46,1,1.19
2003,0.54,0.25,1,1,1,0.23,1,1.18
2004,0.50590511,0.234848304,0.881774767,0.845750424,1.058458344,0.183956084,0.935593391,1.031861432
2005,0.512574304,0.200495462,0.635273212,0.628200679,1.278783028,0.151390908,1.155782793,0.875713626
2006,0.443924876,0.187183885,0.44827299,0.385701064,2.355855028,0.188465888,2.468728592,0.729330254
2007,0.364829783,0.215365284,0.35406486,0.579592781,2.095350372,0.142151722,1.957445094,0.94208776
2008,0.320343159,0.262259514,0.539232563,0.661383619,1.798591808,0.071413674,1.720975217,1.018170901
2009,0.368916364,0.285136927,0.213099733,0.437278266,1.650353129,0.140614673,0.877412855,1.146789838
2010,0.354137745,0.267396759,0.249805642,0.597890637,1.906769487,0.22273702,0.934021761,2.41734873
2011,0.312572034,0.291909832,0.583657263,0.311584143,2.159389567,0.227618418,1.071509168,1.524157044
2012,0.222298288,0.211665198,0.612977566,0.376600339,1.886944484,0.14911067,1.216018537,2.216323326
2013,0.222755485,0.177870148,1.052087961,0.275065556,1.690111293,0.130632298,1.441960508,2.144073903
2014,0.217964109,0.200406136,1.262438916,0.276473083,1.80855298,0.171929941,1.701037679,2.147935335
2015,0.210571735,0.18880962,0.778431808,0.297181089,1.513405942,0.132068003,1.675146081,1.800184758
2016,0.191056897,0.187769467,0.649961128,0.233167515,1.353908219,0.129500624,1.900402982,2.309182448
2017,0.197400785,0.134122042,0.405432941,0.201568405,1.151656039,0.075709794,1.869892473,1.804705441
2018,0.219702875,0.13403586,0.576736852,0.139729382,0.830072353,0.106283927,1.487845664,0.01009792
2019,0.200206218,0.184479707,0.721998073,0.161671901,0.649919161,0.072100051,1.904112857,0.568309376
2020,0.18674496,0.270340295,0.667431999,0.134271592,0.44588083,0.130080619,2.431994156,5.414388113
2021,0.180872558,0.141906065,0.010587386,0.068542712,0.251183315,0.161093122,0.434013945,0.140765003
2022,0.15427664,0.13851651,0.000168541,0.002813832,0.162914159,0.163017159,0.335279166,0.509271732
