year,beam,demersal,dredge,hooks,nets,pelagic,pots,shrimp
1991,1,1,1,1,1,1,1,1
1992,1.16,0.97,1,1,1,1.17,1,1.04
1993,1.17,0.9,1,1,1,1.08,1,1.13
1994,1.1,0.89,1,1,1,0.88,1,1.22
1995,0.97,0.82,1,1,1,0.65,1,1.2
1996,0.81,0.77,1,1,1,0.58,1,1.16
1997,0.78,0.78,1,1,1,0.56,1,1.07
1998,0.73,0.72,1,1,1,0.39,1,0.84
1999,0.71,0.54,1,1,1,0.55,1,1.16
2000,0.63,0.47,1,1,1,0.61,1,1.07
2001,0.6,0.42,1,1,1,0.26,1,1.23
2002,0.46,0.3,1,1,1,0.46,1,1.19
2003,0.54,0.25,1,1,1,0.23,1,1.18
2004,0.50590511,0.234848304,0.881774767,0.845750424,1.058458344,0.183956084,0.935593391,1.031861432
2005,0.512574304,0.200495462,0.635273212,0.628200679,1.278783028,0.151390908,1.155782793,0.875713626
2006,0.443924876,0.187183885,0.44827299,0.385701064,2.355855028,0.188465888,2.468728592,0.729330254
2007,0.364829783,0.215365284,0.35406486,0.579592781,2.095350372,0.142151722,1.957445094,0.94208776
2008,0.320343159,0.262259514,0.539232563,0.661383619,1.798591808,0.071413674,1.720975217,1.018170901
2009,0.368916364,0.285136927,0.213099733,0.437278266,1.650353129,0.140614673,0.877412855,1.146789838
2010,0.354137745,0.267396759,0.249805642,0.597890637,1.906769487,0.22273702,0.934021761,2.41734873
2011,0.312572034,0.291909832,0.583657263,0.311584143,2.159389567,0.227618418,1.071509168,1.524157044
2012,0.222298288,0.211665198,0.612977566,0.376600339,1.886944484,0.14911067,1.216018537,2.216323326
2013,0.222755485,0.177870148,1.052087961,0.275065556,1.690111293,0.130632298,1.441960508,2.144073903
2014,0.217964109,0.200406136,1.262438916,0.276473083,1.80855298,0.171929941,1.701037679,2.147935335
2015,0.210571735,0.18880962,0.778431808,0.297181089,1.513405942,0.132068003,1.675146081,1.800184758
2016,0.191056897,0.187769467,0.649961128,0.233167515,1.353908219,0.129500624,1.900402982,2.309182448
2017,0.212227272,0.147086323,0.369559236,0.171154011,1.158759223,0.1008653,1.904110274,2.214710197
2018,0.235818976,0.142513474,0.546920974,0.118949108,0.830954749,0.143094281,1.532636479,1.847231389
2019,0.214865759,0.195610257,0.67007895,0.137727217,0.654343098,0.094665355,1.932537261,1.558044853
2020,0.199529974,0.292057815,0.613758599,0.114240023,0.45512719,0.172525915,2.479395587,1.865241705
2021,0.193468341,0.159476288,0.008261494,0.114240023,0.252727246,0.180660161,0.470665953,1.66967912
2022,0.165473292,0.150025454,0.000139827,0.114240023,0.163259576,0.221970693,0.353720721,1.812078121
