ICES rectangle,country,annex,regulated area,regulated gear,specon,vessel length,year,Effective Effort
31F2,BEL,IIA,3B2,BEAM,NONE,O15M,2006,1055
31F3,BEL,IIA,3B2,BEAM,NONE,O15M,2006,888
33F4,BEL,IIA,3B2,BEAM,NONE,O15M,2006,63
37F7,BEL,IIA,3B2,BEAM,NONE,O15M,2006,155
38F7,BEL,IIA,3B2,BEAM,NONE,O15M,2006,47
39F7,BEL,IIA,3B2,BEAM,NONE,O15M,2006,90
31F1,BEL,IIA,3B2,BT2,NONE,O15M,2006,2691
31F2,BEL,IIA,3B2,BT2,NONE,O15M,2006,2234
31F3,BEL,IIA,3B2,BT2,NONE,O15M,2006,51
32F1,BEL,IIA,3B2,BT2,NONE,O15M,2006,2817
32F2,BEL,IIA,3B2,BT2,NONE,O15M,2006,4313
33F1,BEL,IIA,3B2,BT2,NONE,O15M,2006,1641
33F2,BEL,IIA,3B2,BT2,NONE,O15M,2006,5369
33F4,BEL,IIA,3B2,BT2,NONE,O15M,2006,7
34F2,BEL,IIA,3B2,BT2,NONE,O15M,2006,619
35F1,BEL,IIA,3B2,BT2,NONE,O15M,2006,304
35F2,BEL,IIA,3B2,BT2,NONE,O15M,2006,50
35F4,BEL,IIA,3B2,BT2,NONE,O15M,2006,164
35F5,BEL,IIA,3B2,BT2,NONE,O15M,2006,87
36F0,BEL,IIA,3B2,BT2,NONE,O15M,2006,29
36F1,BEL,IIA,3B2,BT2,NONE,O15M,2006,32
37F0,BEL,IIA,3B2,BT2,NONE,O15M,2006,447
37F2,BEL,IIA,3B2,BT2,NONE,O15M,2006,30
37F3,BEL,IIA,3B2,BT2,NONE,O15M,2006,42
38E9,BEL,IIA,3B2,BT2,NONE,O15M,2006,24
38F0,BEL,IIA,3B2,BT2,NONE,O15M,2006,66
37F8,DEU,IIA,3B2,BEAM,NONE,O15M,2006,126
38F8,DEU,IIA,3B2,BEAM,NONE,O15M,2006,34
34F4,DEU,IIA,3B2,BEAM,NONE,O15M,2006,4
35F4,DEU,IIA,3B2,BEAM,NONE,O15M,2006,71
35F5,DEU,IIA,3B2,BEAM,NONE,O15M,2006,42
36F5,DEU,IIA,3B2,BEAM,NONE,O15M,2006,6
36F6,DEU,IIA,3B2,BEAM,NONE,O15M,2006,470
36F7,DEU,IIA,3B2,BEAM,NONE,O15M,2006,1988
36F8,DEU,IIA,3B2,BEAM,NONE,O15M,2006,3518
37F6,DEU,IIA,3B2,BEAM,NONE,O15M,2006,8
37F7,DEU,IIA,3B2,BEAM,NONE,O15M,2006,3754
37F8,DEU,IIA,3B2,BEAM,NONE,O15M,2006,6104
38F6,DEU,IIA,3B2,BEAM,NONE,O15M,2006,46
38F7,DEU,IIA,3B2,BEAM,NONE,O15M,2006,2985
