country,annex,regulated area,regulated gear,specon,vessel length,year,Effective Effort,area,fishery,gear,ICES rectangle,mesh_size_range,quarter
BEL,IIA,3B2,BEAM,NONE,O15M,2006,1055,4,NONE,BEAM,31F2,16-31,1
BEL,IIA,3B2,BEAM,NONE,O15M,2006,888,4,NONE,BEAM,31F3,16-31,1
BEL,IIA,3B2,BEAM,NONE,O15M,2006,63,4,NONE,BEAM,33F4,16-31,1
BEL,IIA,3B2,BEAM,NONE,O15M,2006,155,4,NONE,BEAM,37F7,16-31,1
BEL,IIA,3B2,BEAM,NONE,O15M,2006,47,4,NONE,BEAM,38F7,16-31,1
BEL,IIA,3B2,BEAM,NONE,O15M,2006,90,4,NONE,BEAM,39F7,16-31,1
BEL,IIA,3B2,BT2,NONE,O15M,2006,2691,4,NONE,BEAM,31F1,80-89,1
BEL,IIA,3B2,BT2,NONE,O15M,2006,2234,4,NONE,BEAM,31F2,80-89,1
BEL,IIA,3B2,BT2,NONE,O15M,2006,51,4,NONE,BEAM,31F3,80-89,1
BEL,IIA,3B2,BT2,NONE,O15M,2006,2817,4,NONE,BEAM,32F1,80-89,1
BEL,IIA,3B2,BT2,NONE,O15M,2006,4313,4,NONE,BEAM,32F2,80-89,1
BEL,IIA,3B2,BT2,NONE,O15M,2006,1641,4,NONE,BEAM,33F1,80-89,1
BEL,IIA,3B2,BT2,NONE,O15M,2006,5369,4,NONE,BEAM,33F2,80-89,1
BEL,IIA,3B2,BT2,NONE,O15M,2006,7,4,NONE,BEAM,33F4,80-89,1
BEL,IIA,3B2,BT2,NONE,O15M,2006,619,4,NONE,BEAM,34F2,80-89,1
BEL,IIA,3B2,BT2,NONE,O15M,2006,304,4,NONE,BEAM,35F1,80-89,1
BEL,IIA,3B2,BT2,NONE,O15M,2006,50,4,NONE,BEAM,35F2,80-89,1
BEL,IIA,3B2,BT2,NONE,O15M,2006,164,4,NONE,BEAM,35F4,80-89,1
BEL,IIA,3B2,BT2,NONE,O15M,2006,87,4,NONE,BEAM,35F5,80-89,1
BEL,IIA,3B2,BT2,NONE,O15M,2006,29,4,NONE,BEAM,36F0,80-89,1
BEL,IIA,3B2,BT2,NONE,O15M,2006,32,4,NONE,BEAM,36F1,80-89,1
BEL,IIA,3B2,BT2,NONE,O15M,2006,447,4,NONE,BEAM,37F0,80-89,1
BEL,IIA,3B2,BT2,NONE,O15M,2006,30,4,NONE,BEAM,37F2,80-89,1
BEL,IIA,3B2,BT2,NONE,O15M,2006,42,4,NONE,BEAM,37F3,80-89,1
BEL,IIA,3B2,BT2,NONE,O15M,2006,24,4,NONE,BEAM,38E9,80-89,1
BEL,IIA,3B2,BT2,NONE,O15M,2006,66,4,NONE,BEAM,38F0,80-89,1
DEU,IIA,3B2,BEAM,NONE,O15M,2006,126,4,NONE,BEAM,37F8,<16,1
DEU,IIA,3B2,BEAM,NONE,O15M,2006,34,4,NONE,BEAM,38F8,<16,1
DEU,IIA,3B2,BEAM,NONE,O15M,2006,4,4,NONE,BEAM,34F4,16-31,1
DEU,IIA,3B2,BEAM,NONE,O15M,2006,71,4,NONE,BEAM,35F4,16-31,1
DEU,IIA,3B2,BEAM,NONE,O15M,2006,42,4,NONE,BEAM,35F5,16-31,1
DEU,IIA,3B2,BEAM,NONE,O15M,2006,6,4,NONE,BEAM,36F5,16-31,1
DEU,IIA,3B2,BEAM,NONE,O15M,2006,470,4,NONE,BEAM,36F6,16-31,1
DEU,IIA,3B2,BEAM,NONE,O15M,2006,1988,4,NONE,BEAM,36F7,16-31,1
DEU,IIA,3B2,BEAM,NONE,O15M,2006,3518,4,NONE,BEAM,36F8,16-31,1
DEU,IIA,3B2,BEAM,NONE,O15M,2006,8,4,NONE,BEAM,37F6,16-31,1
DEU,IIA,3B2,BEAM,NONE,O15M,2006,3754,4,NONE,BEAM,37F7,16-31,1
DEU,IIA,3B2,BEAM,NONE,O15M,2006,6104,4,NONE,BEAM,37F8,16-31,1
DEU,IIA,3B2,BEAM,NONE,O15M,2006,46,4,NONE,BEAM,38F6,16-31,1
DEU,IIA,3B2,BEAM,NONE,O15M,2006,2985,4,NONE,BEAM,38F7,16-31,1
DEU,IIA,3B2,BEAM,NONE,O15M,2006,5405,4,NONE,BEAM,38F8,16-31,1
DEU,IIA,3B2,BEAM,NONE,O15M,2006,58,4,NONE,BEAM,39F6,16-31,1
