ICES rectangle,country,annex,regulated area,regulated gear,specon,vessel length,year,Effective Effort,area,fishery,gear,quarter,mesh_size_range
31F1,BEL,IIA,3B2,BEAM,NONE,O15M,2008,27,4,NONE,BEAM,1,16-31
31F2,BEL,IIA,3B2,BEAM,NONE,O15M,2008,1217,4,NONE,BEAM,1,16-31
31F3,BEL,IIA,3B2,BEAM,NONE,O15M,2008,1077,4,NONE,BEAM,1,16-31
36F5,BEL,IIA,3B2,BEAM,NONE,O15M,2008,81,4,NONE,BEAM,1,16-31
37F4,BEL,IIA,3B2,BEAM,NONE,O15M,2008,100,4,NONE,BEAM,1,16-31
37F7,BEL,IIA,3B2,BEAM,NONE,O15M,2008,352,4,NONE,BEAM,1,16-31
38F6,BEL,IIA,3B2,BEAM,NONE,O15M,2008,21,4,NONE,BEAM,1,16-31
38F7,BEL,IIA,3B2,BEAM,NONE,O15M,2008,733,4,NONE,BEAM,1,16-31
39F6,BEL,IIA,3B2,BEAM,NONE,O15M,2008,61,4,NONE,BEAM,1,16-31
39F7,BEL,IIA,3B2,BEAM,NONE,O15M,2008,123,4,NONE,BEAM,1,16-31
39F8,BEL,IIA,3B2,BEAM,NONE,O15M,2008,8,4,NONE,BEAM,1,16-31
31F1,BEL,IIA,3B2,BT2,NONE,O15M,2008,1827,4,NONE,BEAM,1,80-89
31F2,BEL,IIA,3B2,BT2,NONE,O15M,2008,3013,4,NONE,BEAM,1,80-89
31F3,BEL,IIA,3B2,BT2,NONE,O15M,2008,269,4,NONE,BEAM,1,80-89
32F1,BEL,IIA,3B2,BT2,NONE,O15M,2008,3627,4,NONE,BEAM,1,80-89
32F2,BEL,IIA,3B2,BT2,NONE,O15M,2008,1351,4,NONE,BEAM,1,80-89
32F3,BEL,IIA,3B2,BT2,NONE,O15M,2008,10,4,NONE,BEAM,1,80-89
33F1,BEL,IIA,3B2,BT2,NONE,O15M,2008,404,4,NONE,BEAM,1,80-89
33F2,BEL,IIA,3B2,BT2,NONE,O15M,2008,3169,4,NONE,BEAM,1,80-89
34F1,BEL,IIA,3B2,BT2,NONE,O15M,2008,168,4,NONE,BEAM,1,80-89
34F2,BEL,IIA,3B2,BT2,NONE,O15M,2008,1129,4,NONE,BEAM,1,80-89
35F1,BEL,IIA,3B2,BT2,NONE,O15M,2008,315,4,NONE,BEAM,1,80-89
35F2,BEL,IIA,3B2,BT2,NONE,O15M,2008,52,4,NONE,BEAM,1,80-89
37F0,BEL,IIA,3B2,BT2,NONE,O15M,2008,509,4,NONE,BEAM,1,80-89
38E9,BEL,IIA,3B2,BT2,NONE,O15M,2008,119,4,NONE,BEAM,1,80-89
38F0,BEL,IIA,3B2,BT2,NONE,O15M,2008,24,4,NONE,BEAM,1,80-89
40F7,DEU,IIA,3B2,BEAM,NONE,O15M,2008,117,4,NONE,BEAM,1,<16
41F7,DEU,IIA,3B2,BEAM,NONE,O15M,2008,12,4,NONE,BEAM,1,<16
43F7,DEU,IIA,3B2,BT1,NONE,O15M,2008,6,4,NONE,BEAM,1,>=120
43F8,DEU,IIA,3B2,BT1,NONE,O15M,2008,28,4,NONE,BEAM,1,>=120
34F4,DEU,IIA,3B2,BEAM,NONE,O15M,2008,14,4,NONE,BEAM,1,16-31
35F4,DEU,IIA,3B2,BEAM,NONE,O15M,2008,76,4,NONE,BEAM,1,16-31
36F6,DEU,IIA,3B2,BEAM,NONE,O15M,2008,1094,4,NONE,BEAM,1,16-31
36F7,DEU,IIA,3B2,BEAM,NONE,O15M,2008,3230,4,NONE,BEAM,1,16-31
36F8,DEU,IIA,3B2,BEAM,NONE,O15M,2008,2594,4,NONE,BEAM,1,16-31
37F6,DEU,IIA,3B2,BEAM,NONE,O15M,2008,39,4,NONE,BEAM,1,16-31
37F7,DEU,IIA,3B2,BEAM,NONE,O15M,2008,3344,4,NONE,BEAM,1,16-31
37F8,DEU,IIA,3B2,BEAM,NONE,O15M,2008,6713,4,NONE,BEAM,1,16-31
38F2,DEU,IIA,3B2,BEAM,NONE,O15M,2008,45,4,NONE,BEAM,1,16-31
38F6,DEU,IIA,3B2,BEAM,NONE,O15M,2008,138,4,NONE,BEAM,1,16-31
38F7,DEU,IIA,3B2,BEAM,NONE,O15M,2008,1784,4,NONE,BEAM,1,16-31
38F8,DEU,IIA,3B2,BEAM,NONE,O15M,2008,4353,4,NONE,BEAM,1,16-31
39F6,DEU,IIA,3B2,BEAM,NONE,O15M,2008,666,4,NONE,BEAM,1,16-31
39F7,DEU,IIA,3B2,BEAM,NONE,O15M,2008,7092,4,NONE,BEAM,1,16-31
39F8,DEU,IIA,3B2,BEAM,NONE,O15M,2008,1851,4,NONE,BEAM,1,16-31
40F7,DEU,IIA,3B2,BEAM,NONE,O15M,2008,748,4,NONE,BEAM,1,16-31
40F8,DEU,IIA,3B2,BEAM,NONE,O15M,2008,137,4,NONE,BEAM,1,16-31
41F7,DEU,IIA,3B2,BEAM,NONE,O15M,2008,429,4,NONE,BEAM,1,16-31
37F8,DEU,IIA,3B2,BEAM,NONE,O15M,2008,36,4,NONE,BEAM,1,32-54
36F8,DEU,IIA,3B2,BEAM,NONE,O15M,2008,12,4,NONE,BEAM,1,55-69
35F4,DEU,IIA,3B2,BT2,NONE,O15M,2008,32,4,NONE,BEAM,1,80-89
36F3,DEU,IIA,3B2,BT2,NONE,O15M,2008,252,4,NONE,BEAM,1,80-89
36F4,DEU,IIA,3B2,BT2,NONE,O15M,2008,1746,4,NONE,BEAM,1,80-89
36F5,DEU,IIA,3B2,BT2,NONE,O15M,2008,168,4,NONE,BEAM,1,80-89
36F6,DEU,IIA,3B2,BT2,NONE,O15M,2008,14,4,NONE,BEAM,1,80-89
37F2,DEU,IIA,3B2,BT2,NONE,O15M,2008,120,4,NONE,BEAM,1,80-89
37F4,DEU,IIA,3B2,BT2,NONE,O15M,2008,318,4,NONE,BEAM,1,80-89
37F5,DEU,IIA,3B2,BT2,NONE,O15M,2008,472,4,NONE,BEAM,1,80-89
37F8,DEU,IIA,3B2,BT2,NONE,O15M,2008,12,4,NONE,BEAM,1,80-89
39F4,DEU,IIA,3B2,BT2,NONE,O15M,2008,12,4,NONE,BEAM,1,80-89
42F6,DNK,IIA,3B2,BT1,NONE,O15M,2008,50,4,DNK_BOMTRWL___NS,BEAM,1,>=120
42F7,DNK,IIA,3B2,BT1,NONE,O15M,2008,37,4,DNK_BOMTRWL___NS,BEAM,1,>=120
43F5,DNK,IIA,3B2,BT1,NONE,O15M,2008,22,4,DNK_BOMTRWL___NS,BEAM,1,>=120
43F6,DNK,IIA,3B2,BT1,NONE,O15M,2008,323,4,DNK_BOMTRWL___NS,BEAM,1,>=120
43F7,DNK,IIA,3B2,BT1,NONE,O15M,2008,637,4,DNK_BOMTRWL___NS,BEAM,1,>=120
43F8,DNK,IIA,3B2,BT1,NONE,O15M,2008,103,4,DNK_BOMTRWL___NS,BEAM,1,>=120
42F7,DNK,IIA,3B2,BT2,NONE,O15M,2008,20,4,DNK_BOMTRWL___NS,BEAM,1,100-119
43F7,DNK,IIA,3B2,BT2,NONE,O15M,2008,20,4,DNK_BOMTRWL___NS,BEAM,1,100-119
37F8,DNK,IIA,3B2,BEAM,NONE,O15M,2008,503,4,DNK_HESTE_REJ__N,BEAM,1,16-31
38F7,DNK,IIA,3B2,BEAM,NONE,O15M,2008,66,4,DNK_HESTE_REJ__N,BEAM,1,16-31
38F8,DNK,IIA,3B2,BEAM,NONE,O15M,2008,244,4,DNK_HESTE_REJ__N,BEAM,1,16-31
39F7,DNK,IIA,3B2,BEAM,NONE,O15M,2008,909,4,DNK_HESTE_REJ__N,BEAM,1,16-31
39F8,DNK,IIA,3B2,BEAM,NONE,O15M,2008,5622,4,DNK_HESTE_REJ__N,BEAM,1,16-31
40F7,DNK,IIA,3B2,BEAM,NONE,O15M,2008,3339,4,DNK_HESTE_REJ__N,BEAM,1,16-31
40F8,DNK,IIA,3B2,BEAM,NONE,O15M,2008,4499,4,DNK_HESTE_REJ__N,BEAM,1,16-31
41F7,DNK,IIA,3B2,BEAM,NONE,O15M,2008,345,4,DNK_HESTE_REJ__N,BEAM,1,16-31
41F8,DNK,IIA,3B2,BEAM,NONE,O15M,2008,482,4,DNK_HESTE_REJ__N,BEAM,1,16-31
42F7,DNK,IIA,3B2,BEAM,NONE,O15M,2008,62,4,DNK_HESTE_REJ__N,BEAM,1,16-31
42F8,DNK,IIA,3B2,BEAM,NONE,O15M,2008,631,4,DNK_HESTE_REJ__N,BEAM,1,16-31
42F8,DNK,IIA,3B2,BEAM,NONE,O15M,2008,15,4,DNK_REST_NORD__N,BEAM,1,16-31
39F4,ENG,IIA,3B2,BT1,NONE,O15M,2008,40,4,NONE,BEAM,1,>=120
39F5,ENG,IIA,3B2,BT1,NONE,O15M,2008,60,4,NONE,BEAM,1,>=120
40F4,ENG,IIA,3B2,BT1,NONE,O15M,2008,30,4,NONE,BEAM,1,>=120
40F5,ENG,IIA,3B2,BT1,NONE,O15M,2008,178,4,NONE,BEAM,1,>=120
41F5,ENG,IIA,3B2,BT1,NONE,O15M,2008,148,4,NONE,BEAM,1,>=120
33F3,ENG,IIA,3B2,BT2,NONE,O15M,2008,30,4,NONE,BEAM,1,100-119
35F3,ENG,IIA,3B2,BT2,NONE,O15M,2008,120,4,NONE,BEAM,1,100-119
36F2,ENG,IIA,3B2,BT2,NONE,O15M,2008,29,4,NONE,BEAM,1,100-119
36F3,ENG,IIA,3B2,BT2,NONE,O15M,2008,116,4,NONE,BEAM,1,100-119
36F4,ENG,IIA,3B2,BT2,NONE,O15M,2008,29,4,NONE,BEAM,1,100-119
37F3,ENG,IIA,3B2,BT2,NONE,O15M,2008,86,4,NONE,BEAM,1,100-119
38F3,ENG,IIA,3B2,BT2,NONE,O15M,2008,29,4,NONE,BEAM,1,100-119
38F4,ENG,IIA,3B2,BT2,NONE,O15M,2008,65,4,NONE,BEAM,1,100-119
38F5,ENG,IIA,3B2,BT2,NONE,O15M,2008,30,4,NONE,BEAM,1,100-119
39F1,ENG,IIA,3B2,BT2,NONE,O15M,2008,29,4,NONE,BEAM,1,100-119
39F3,ENG,IIA,3B2,BT2,NONE,O15M,2008,89,4,NONE,BEAM,1,100-119
39F4,ENG,IIA,3B2,BT2,NONE,O15M,2008,30,4,NONE,BEAM,1,100-119
39F5,ENG,IIA,3B2,BT2,NONE,O15M,2008,138,4,NONE,BEAM,1,100-119
39F6,ENG,IIA,3B2,BT2,NONE,O15M,2008,220,4,NONE,BEAM,1,100-119
40F2,ENG,IIA,3B2,BT2,NONE,O15M,2008,58,4,NONE,BEAM,1,100-119
40F4,ENG,IIA,3B2,BT2,NONE,O15M,2008,260,4,NONE,BEAM,1,100-119
40F5,ENG,IIA,3B2,BT2,NONE,O15M,2008,30,4,NONE,BEAM,1,100-119
34F0,ENG,IIA,3B2,BEAM,NONE,O15M,2008,2560,4,NONE,BEAM,1,16-31
35F0,ENG,IIA,3B2,BEAM,NONE,O15M,2008,5096,4,NONE,BEAM,1,16-31
35F1,ENG,IIA,3B2,BEAM,NONE,O15M,2008,672,4,NONE,BEAM,1,16-31
36F0,ENG,IIA,3B2,BEAM,NONE,O15M,2008,432,4,NONE,BEAM,1,16-31
36F1,ENG,IIA,3B2,BEAM,NONE,O15M,2008,72,4,NONE,BEAM,1,16-31
31F1,ENG,IIA,3B2,BT2,NONE,O15M,2008,88,4,NONE,BEAM,1,80-89
32F1,ENG,IIA,3B2,BT2,NONE,O15M,2008,30,4,NONE,BEAM,1,80-89
32F2,ENG,IIA,3B2,BT2,NONE,O15M,2008,186,4,NONE,BEAM,1,80-89
32F3,ENG,IIA,3B2,BT2,NONE,O15M,2008,105,4,NONE,BEAM,1,80-89
33F2,ENG,IIA,3B2,BT2,NONE,O15M,2008,240,4,NONE,BEAM,1,80-89
33F3,ENG,IIA,3B2,BT2,NONE,O15M,2008,159,4,NONE,BEAM,1,80-89
33F4,ENG,IIA,3B2,BT2,NONE,O15M,2008,24,4,NONE,BEAM,1,80-89
34F2,ENG,IIA,3B2,BT2,NONE,O15M,2008,185,4,NONE,BEAM,1,80-89
34F3,ENG,IIA,3B2,BT2,NONE,O15M,2008,222,4,NONE,BEAM,1,80-89
34F4,ENG,IIA,3B2,BT2,NONE,O15M,2008,308,4,NONE,BEAM,1,80-89
35F2,ENG,IIA,3B2,BT2,NONE,O15M,2008,84,4,NONE,BEAM,1,80-89
35F3,ENG,IIA,3B2,BT2,NONE,O15M,2008,235,4,NONE,BEAM,1,80-89
35F4,ENG,IIA,3B2,BT2,NONE,O15M,2008,29,4,NONE,BEAM,1,80-89
36F2,ENG,IIA,3B2,BT2,NONE,O15M,2008,331,4,NONE,BEAM,1,80-89
36F3,ENG,IIA,3B2,BT2,NONE,O15M,2008,860,4,NONE,BEAM,1,80-89
36F4,ENG,IIA,3B2,BT2,NONE,O15M,2008,702,4,NONE,BEAM,1,80-89
36F5,ENG,IIA,3B2,BT2,NONE,O15M,2008,302,4,NONE,BEAM,1,80-89
37F3,ENG,IIA,3B2,BT2,NONE,O15M,2008,354,4,NONE,BEAM,1,80-89
37F4,ENG,IIA,3B2,BT2,NONE,O15M,2008,321,4,NONE,BEAM,1,80-89
37F5,ENG,IIA,3B2,BT2,NONE,O15M,2008,1257,4,NONE,BEAM,1,80-89
37F6,ENG,IIA,3B2,BT2,NONE,O15M,2008,800,4,NONE,BEAM,1,80-89
38F3,ENG,IIA,3B2,BT2,NONE,O15M,2008,64,4,NONE,BEAM,1,80-89
38F4,ENG,IIA,3B2,BT2,NONE,O15M,2008,970,4,NONE,BEAM,1,80-89
38F5,ENG,IIA,3B2,BT2,NONE,O15M,2008,404,4,NONE,BEAM,1,80-89
38F6,ENG,IIA,3B2,BT2,NONE,O15M,2008,1259,4,NONE,BEAM,1,80-89
39F6,ENG,IIA,3B2,BT2,NONE,O15M,2008,571,4,NONE,BEAM,1,80-89
40F6,ENG,IIA,3B2,BT2,NONE,O15M,2008,147,4,NONE,BEAM,1,80-89
31F2,FRA,IIA,3B2,BT2,NONE,O15M,2008,10,4,COASTAL,BEAM,1,100-119
31F1,FRA,IIA,3B2,BT2,NONE,O15M,2008,7,4,COASTAL,BEAM,1,80-89
31F2,FRA,IIA,3B2,BT2,NONE,O15M,2008,115,4,COASTAL,BEAM,1,80-89
41F4,NLD,IIA,3B2,BT1,NONE,O15M,2008,2,4,FLAT,BEAM,1,>=120
44F4,NLD,IIA,3B2,BT1,NONE,O15M,2008,12,4,FLAT,BEAM,1,>=120
32F3,NLD,IIA,3B2,BT2,NONE,O15M,2008,18,4,FLAT,BEAM,1,100-119
39F3,NLD,IIA,3B2,BT2,NONE,O15M,2008,12,4,FLAT,BEAM,1,100-119
39F4,NLD,IIA,3B2,BT2,NONE,O15M,2008,33,4,FLAT,BEAM,1,100-119
40F4,NLD,IIA,3B2,BT2,NONE,O15M,2008,61,4,FLAT,BEAM,1,100-119
40F5,NLD,IIA,3B2,BT2,NONE,O15M,2008,20,4,FLAT,BEAM,1,100-119
31F3,NLD,IIA,3B2,BEAM,NONE,O15M,2008,48,4,SHR,BEAM,1,16-31
32F3,NLD,IIA,3B2,BEAM,NONE,O15M,2008,621,4,SHR,BEAM,1,16-31
33F4,NLD,IIA,3B2,BEAM,NONE,O15M,2008,41,4,SHR,BEAM,1,16-31
34F4,NLD,IIA,3B2,BEAM,NONE,O15M,2008,26,4,SHR,BEAM,1,16-31
35F4,NLD,IIA,3B2,BEAM,NONE,O15M,2008,56,4,SHR,BEAM,1,16-31
37F7,NLD,IIA,3B2,BEAM,NONE,O15M,2008,77,4,SHR,BEAM,1,16-31
37F8,NLD,IIA,3B2,BEAM,NONE,O15M,2008,62,4,SHR,BEAM,1,16-31
38F7,NLD,IIA,3B2,BEAM,NONE,O15M,2008,77,4,SHR,BEAM,1,16-31
31F1,NLD,IIA,3B2,BT2,NONE,O15M,2008,177,4,FLAT,BEAM,1,80-89
31F2,NLD,IIA,3B2,BT2,NONE,O15M,2008,5751,4,FLAT,BEAM,1,80-89
31F3,NLD,IIA,3B2,BT2,NONE,O15M,2008,474,4,FLAT,BEAM,1,80-89
32F1,NLD,IIA,3B2,BT2,NONE,O15M,2008,86,4,FLAT,BEAM,1,80-89
32F2,NLD,IIA,3B2,BT2,NONE,O15M,2008,4334,4,FLAT,BEAM,1,80-89
32F3,NLD,IIA,3B2,BT2,NONE,O15M,2008,7789,4,FLAT,BEAM,1,80-89
32F4,NLD,IIA,3B2,BT2,NONE,O15M,2008,26,4,FLAT,BEAM,1,80-89
33F2,NLD,IIA,3B2,BT2,NONE,O15M,2008,1787,4,FLAT,BEAM,1,80-89
33F3,NLD,IIA,3B2,BT2,NONE,O15M,2008,8396,4,FLAT,BEAM,1,80-89
33F4,NLD,IIA,3B2,BT2,NONE,O15M,2008,558,4,FLAT,BEAM,1,80-89
34F2,NLD,IIA,3B2,BT2,NONE,O15M,2008,2190,4,FLAT,BEAM,1,80-89
34F3,NLD,IIA,3B2,BT2,NONE,O15M,2008,3463,4,FLAT,BEAM,1,80-89
34F4,NLD,IIA,3B2,BT2,NONE,O15M,2008,3079,4,FLAT,BEAM,1,80-89
35F1,NLD,IIA,3B2,BT2,NONE,O15M,2008,609,4,FLAT,BEAM,1,80-89
35F2,NLD,IIA,3B2,BT2,NONE,O15M,2008,1713,4,FLAT,BEAM,1,80-89
35F3,NLD,IIA,3B2,BT2,NONE,O15M,2008,1859,4,FLAT,BEAM,1,80-89
35F4,NLD,IIA,3B2,BT2,NONE,O15M,2008,2417,4,FLAT,BEAM,1,80-89
35F5,NLD,IIA,3B2,BT2,NONE,O15M,2008,14,4,FLAT,BEAM,1,80-89
36F0,NLD,IIA,3B2,BT2,NONE,O15M,2008,108,4,FLAT,BEAM,1,80-89
36F1,NLD,IIA,3B2,BT2,NONE,O15M,2008,371,4,FLAT,BEAM,1,80-89
36F2,NLD,IIA,3B2,BT2,NONE,O15M,2008,877,4,FLAT,BEAM,1,80-89
36F3,NLD,IIA,3B2,BT2,NONE,O15M,2008,1403,4,FLAT,BEAM,1,80-89
36F4,NLD,IIA,3B2,BT2,NONE,O15M,2008,5913,4,FLAT,BEAM,1,80-89
36F5,NLD,IIA,3B2,BT2,NONE,O15M,2008,3165,4,FLAT,BEAM,1,80-89
36F6,NLD,IIA,3B2,BT2,NONE,O15M,2008,78,4,FLAT,BEAM,1,80-89
37F0,NLD,IIA,3B2,BT2,NONE,O15M,2008,228,4,FLAT,BEAM,1,80-89
37F1,NLD,IIA,3B2,BT2,NONE,O15M,2008,331,4,FLAT,BEAM,1,80-89
37F2,NLD,IIA,3B2,BT2,NONE,O15M,2008,168,4,FLAT,BEAM,1,80-89
37F3,NLD,IIA,3B2,BT2,NONE,O15M,2008,74,4,FLAT,BEAM,1,80-89
37F4,NLD,IIA,3B2,BT2,NONE,O15M,2008,746,4,FLAT,BEAM,1,80-89
37F5,NLD,IIA,3B2,BT2,NONE,O15M,2008,4105,4,FLAT,BEAM,1,80-89
37F6,NLD,IIA,3B2,BT2,NONE,O15M,2008,3852,4,FLAT,BEAM,1,80-89
37F7,NLD,IIA,3B2,BT2,NONE,O15M,2008,278,4,FLAT,BEAM,1,80-89
