ICES rectangle,country,annex,regulated area,regulated gear,specon,vessel length,year,Effective Effort,area,fishery,gear,mesh_size_range,quarter
37F5,ENG,IIA,3B2,BT2,CPART13B,O15M,2010,58,4,NONE,BEAM,100-119,1
38F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2010,108,4,NONE,BEAM,100-119,1
38F4,ENG,IIA,3B2,BT2,CPART13B,O15M,2010,30,4,NONE,BEAM,100-119,1
39F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2010,144,4,NONE,BEAM,100-119,1
39F4,ENG,IIA,3B2,BT2,CPART13B,O15M,2010,208,4,NONE,BEAM,100-119,1
40F4,ENG,IIA,3B2,BT2,CPART13B,O15M,2010,119,4,NONE,BEAM,100-119,1
32F1,ENG,IIA,3B2,BT2,CPART13B,O15M,2010,74,4,NONE,BEAM,80-89,1
33F1,ENG,IIA,3B2,BT2,CPART13B,O15M,2010,1168,4,NONE,BEAM,80-89,1
33F2,ENG,IIA,3B2,BT2,CPART13B,O15M,2010,1402,4,NONE,BEAM,80-89,1
34F1,ENG,IIA,3B2,BT2,CPART13B,O15M,2010,66,4,NONE,BEAM,80-89,1
34F2,ENG,IIA,3B2,BT2,CPART13B,O15M,2010,29,4,NONE,BEAM,80-89,1
34F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2010,204,4,NONE,BEAM,80-89,1
34F4,ENG,IIA,3B2,BT2,CPART13B,O15M,2010,24,4,NONE,BEAM,80-89,1
35F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2010,72,4,NONE,BEAM,80-89,1
36F0,ENG,IIA,3B2,BT2,CPART13B,O15M,2010,24,4,NONE,BEAM,80-89,1
36F1,ENG,IIA,3B2,BT2,CPART13B,O15M,2010,245,4,NONE,BEAM,80-89,1
36F2,ENG,IIA,3B2,BT2,CPART13B,O15M,2010,964,4,NONE,BEAM,80-89,1
36F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2010,472,4,NONE,BEAM,80-89,1
36F4,ENG,IIA,3B2,BT2,CPART13B,O15M,2010,253,4,NONE,BEAM,80-89,1
36F5,ENG,IIA,3B2,BT2,CPART13B,O15M,2010,120,4,NONE,BEAM,80-89,1
37F0,ENG,IIA,3B2,BT2,CPART13B,O15M,2010,31,4,NONE,BEAM,80-89,1
37F1,ENG,IIA,3B2,BT2,CPART13B,O15M,2010,133,4,NONE,BEAM,80-89,1
37F2,ENG,IIA,3B2,BT2,CPART13B,O15M,2010,45,4,NONE,BEAM,80-89,1
37F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2010,1906,4,NONE,BEAM,80-89,1
37F4,ENG,IIA,3B2,BT2,CPART13B,O15M,2010,1144,4,NONE,BEAM,80-89,1
37F5,ENG,IIA,3B2,BT2,CPART13B,O15M,2010,1050,4,NONE,BEAM,80-89,1
37F6,ENG,IIA,3B2,BT2,CPART13B,O15M,2010,608,4,NONE,BEAM,80-89,1
38F4,ENG,IIA,3B2,BT2,CPART13B,O15M,2010,425,4,NONE,BEAM,80-89,1
38F5,ENG,IIA,3B2,BT2,CPART13B,O15M,2010,374,4,NONE,BEAM,80-89,1
38F6,ENG,IIA,3B2,BT2,CPART13B,O15M,2010,1086,4,NONE,BEAM,80-89,1
39F4,ENG,IIA,3B2,BT2,CPART13B,O15M,2010,29,4,NONE,BEAM,80-89,1
39F5,ENG,IIA,3B2,BT2,CPART13B,O15M,2010,41,4,NONE,BEAM,80-89,1
39F6,ENG,IIA,3B2,BT2,CPART13B,O15M,2010,791,4,NONE,BEAM,80-89,1
40F6,ENG,IIA,3B2,BT2,CPART13B,O15M,2010,112,4,NONE,BEAM,80-89,1
31F2,BEL,IIA,3B2,BEAM,NONE,O15M,2010,971,4,NONE,BEAM,16-31,1
31F3,BEL,IIA,3B2,BEAM,NONE,O15M,2010,1065,4,NONE,BEAM,16-31,1
32F2,BEL,IIA,3B2,BEAM,NONE,O15M,2010,141,4,NONE,BEAM,16-31,1
32F3,BEL,IIA,3B2,BEAM,NONE,O15M,2010,9,4,NONE,BEAM,16-31,1
36F7,BEL,IIA,3B2,BEAM,NONE,O15M,2010,16,4,NONE,BEAM,16-31,1
37F7,BEL,IIA,3B2,BEAM,NONE,O15M,2010,402,4,NONE,BEAM,16-31,1
37F8,BEL,IIA,3B2,BEAM,NONE,O15M,2010,10,4,NONE,BEAM,16-31,1
38F7,BEL,IIA,3B2,BEAM,NONE,O15M,2010,292,4,NONE,BEAM,16-31,1
39F7,BEL,IIA,3B2,BEAM,NONE,O15M,2010,20,4,NONE,BEAM,16-31,1
30F1,BEL,IIA,3B2,BT2,NONE,O15M,2010,15,4,NONE,BEAM,80-89,1
31F1,BEL,IIA,3B2,BT2,NONE,O15M,2010,2284,4,NONE,BEAM,80-89,1
31F2,BEL,IIA,3B2,BT2,NONE,O15M,2010,2998,4,NONE,BEAM,80-89,1
31F3,BEL,IIA,3B2,BT2,NONE,O15M,2010,61,4,NONE,BEAM,80-89,1
32F1,BEL,IIA,3B2,BT2,NONE,O15M,2010,2846,4,NONE,BEAM,80-89,1
32F2,BEL,IIA,3B2,BT2,NONE,O15M,2010,2954,4,NONE,BEAM,80-89,1
32F3,BEL,IIA,3B2,BT2,NONE,O15M,2010,14,4,NONE,BEAM,80-89,1
33F1,BEL,IIA,3B2,BT2,NONE,O15M,2010,117,4,NONE,BEAM,80-89,1
33F2,BEL,IIA,3B2,BT2,NONE,O15M,2010,3488,4,NONE,BEAM,80-89,1
