ICES rectangle,country,annex,regulated area,regulated gear,specon,vessel length,year,Effective Effort,area,fishery,gear,mesh_size_range,quarter
31F2,BEL,IIA,3B2,BEAM,NONE,O15M,2003,852,4,NONE,BEAM,16-31,1
31F3,BEL,IIA,3B2,BEAM,NONE,O15M,2003,1504,4,NONE,BEAM,16-31,1
32F1,BEL,IIA,3B2,BEAM,NONE,O15M,2003,42,4,NONE,BEAM,16-31,1
32F3,BEL,IIA,3B2,BEAM,NONE,O15M,2003,119,4,NONE,BEAM,16-31,1
33F4,BEL,IIA,3B2,BEAM,NONE,O15M,2003,49,4,NONE,BEAM,16-31,1
34F4,BEL,IIA,3B2,BEAM,NONE,O15M,2003,76,4,NONE,BEAM,16-31,1
36F6,BEL,IIA,3B2,BEAM,NONE,O15M,2003,13,4,NONE,BEAM,16-31,1
36F8,BEL,IIA,3B2,BEAM,NONE,O15M,2003,59,4,NONE,BEAM,16-31,1
37F3,BEL,IIA,3B2,BEAM,NONE,O15M,2003,70,4,NONE,BEAM,16-31,1
37F7,BEL,IIA,3B2,BEAM,NONE,O15M,2003,49,4,NONE,BEAM,16-31,1
37F8,BEL,IIA,3B2,BEAM,NONE,O15M,2003,21,4,NONE,BEAM,16-31,1
38F7,BEL,IIA,3B2,BEAM,NONE,O15M,2003,265,4,NONE,BEAM,16-31,1
39F7,BEL,IIA,3B2,BEAM,NONE,O15M,2003,508,4,NONE,BEAM,16-31,1
40F7,BEL,IIA,3B2,BEAM,NONE,O15M,2003,84,4,NONE,BEAM,16-31,1
31F1,BEL,IIA,3B2,BT2,NONE,O15M,2003,1131,4,NONE,BEAM,80-89,1
31F2,BEL,IIA,3B2,BT2,NONE,O15M,2003,2490,4,NONE,BEAM,80-89,1
31F3,BEL,IIA,3B2,BT2,NONE,O15M,2003,702,4,NONE,BEAM,80-89,1
32F1,BEL,IIA,3B2,BT2,NONE,O15M,2003,2277,4,NONE,BEAM,80-89,1
32F2,BEL,IIA,3B2,BT2,NONE,O15M,2003,943,4,NONE,BEAM,80-89,1
32F3,BEL,IIA,3B2,BT2,NONE,O15M,2003,158,4,NONE,BEAM,80-89,1
33F1,BEL,IIA,3B2,BT2,NONE,O15M,2003,713,4,NONE,BEAM,80-89,1
33F2,BEL,IIA,3B2,BT2,NONE,O15M,2003,1488,4,NONE,BEAM,80-89,1
33F3,BEL,IIA,3B2,BT2,NONE,O15M,2003,52,4,NONE,BEAM,80-89,1
33F4,BEL,IIA,3B2,BT2,NONE,O15M,2003,81,4,NONE,BEAM,80-89,1
34F1,BEL,IIA,3B2,BT2,NONE,O15M,2003,24,4,NONE,BEAM,80-89,1
34F2,BEL,IIA,3B2,BT2,NONE,O15M,2003,179,4,NONE,BEAM,80-89,1
34F4,BEL,IIA,3B2,BT2,NONE,O15M,2003,20,4,NONE,BEAM,80-89,1
35F1,BEL,IIA,3B2,BT2,NONE,O15M,2003,82,4,NONE,BEAM,80-89,1
35F3,BEL,IIA,3B2,BT2,NONE,O15M,2003,2,4,NONE,BEAM,80-89,1
35F4,BEL,IIA,3B2,BT2,NONE,O15M,2003,18,4,NONE,BEAM,80-89,1
36F0,BEL,IIA,3B2,BT2,NONE,O15M,2003,22,4,NONE,BEAM,80-89,1
36F5,BEL,IIA,3B2,BT2,NONE,O15M,2003,84,4,NONE,BEAM,80-89,1
37F0,BEL,IIA,3B2,BT2,NONE,O15M,2003,102,4,NONE,BEAM,80-89,1
37F1,BEL,IIA,3B2,BT2,NONE,O15M,2003,90,4,NONE,BEAM,80-89,1
37F4,BEL,IIA,3B2,BT2,NONE,O15M,2003,20,4,NONE,BEAM,80-89,1
37F5,BEL,IIA,3B2,BT2,NONE,O15M,2003,40,4,NONE,BEAM,80-89,1
37F6,BEL,IIA,3B2,BT2,NONE,O15M,2003,65,4,NONE,BEAM,80-89,1
38E9,BEL,IIA,3B2,BT2,NONE,O15M,2003,328,4,NONE,BEAM,80-89,1
38F0,BEL,IIA,3B2,BT2,NONE,O15M,2003,20,4,NONE,BEAM,80-89,1
38F5,BEL,IIA,3B2,BT2,NONE,O15M,2003,66,4,NONE,BEAM,80-89,1
38F6,BEL,IIA,3B2,BT2,NONE,O15M,2003,140,4,NONE,BEAM,80-89,1
39F6,BEL,IIA,3B2,BT2,NONE,O15M,2003,69,4,NONE,BEAM,80-89,1
40F6,BEL,IIA,3B2,BT2,NONE,O15M,2003,92,4,NONE,BEAM,80-89,1
36F7,DEU,IIA,3B2,BEAM,NONE,O15M,2003,44,4,NONE,BEAM,<16,1
34F3,DEU,IIA,3B2,BT1,NONE,O15M,2003,20,4,NONE,BEAM,>=120,1
34F4,DEU,IIA,3B2,BT1,NONE,O15M,2003,4,4,NONE,BEAM,>=120,1
35F4,DEU,IIA,3B2,BT1,NONE,O15M,2003,29,4,NONE,BEAM,>=120,1
36F4,DEU,IIA,3B2,BT1,NONE,O15M,2003,20,4,NONE,BEAM,>=120,1
38F8,DEU,IIA,3B2,BT1,NONE,O15M,2003,53,4,NONE,BEAM,>=120,1
36F4,DEU,IIA,3B2,BEAM,NONE,O15M,2003,38,4,NONE,BEAM,16-31,1
36F5,DEU,IIA,3B2,BEAM,NONE,O15M,2003,6,4,NONE,BEAM,16-31,1
36F6,DEU,IIA,3B2,BEAM,NONE,O15M,2003,753,4,NONE,BEAM,16-31,1
36F7,DEU,IIA,3B2,BEAM,NONE,O15M,2003,2209,4,NONE,BEAM,16-31,1
36F8,DEU,IIA,3B2,BEAM,NONE,O15M,2003,2836,4,NONE,BEAM,16-31,1
37F4,DEU,IIA,3B2,BEAM,NONE,O15M,2003,14,4,NONE,BEAM,16-31,1
37F7,DEU,IIA,3B2,BEAM,NONE,O15M,2003,3282,4,NONE,BEAM,16-31,1
37F8,DEU,IIA,3B2,BEAM,NONE,O15M,2003,4462,4,NONE,BEAM,16-31,1
38F6,DEU,IIA,3B2,BEAM,NONE,O15M,2003,6,4,NONE,BEAM,16-31,1
38F7,DEU,IIA,3B2,BEAM,NONE,O15M,2003,2552,4,NONE,BEAM,16-31,1
38F8,DEU,IIA,3B2,BEAM,NONE,O15M,2003,5781,4,NONE,BEAM,16-31,1
39F7,DEU,IIA,3B2,BEAM,NONE,O15M,2003,1727,4,NONE,BEAM,16-31,1
39F8,DEU,IIA,3B2,BEAM,NONE,O15M,2003,1478,4,NONE,BEAM,16-31,1
40F7,DEU,IIA,3B2,BEAM,NONE,O15M,2003,1126,4,NONE,BEAM,16-31,1
41F7,DEU,IIA,3B2,BEAM,NONE,O15M,2003,24,4,NONE,BEAM,16-31,1
32F2,DEU,IIA,3B2,BT2,NONE,O15M,2003,83,4,NONE,BEAM,80-89,1
32F3,DEU,IIA,3B2,BT2,NONE,O15M,2003,81,4,NONE,BEAM,80-89,1
33F2,DEU,IIA,3B2,BT2,NONE,O15M,2003,44,4,NONE,BEAM,80-89,1
33F3,DEU,IIA,3B2,BT2,NONE,O15M,2003,390,4,NONE,BEAM,80-89,1
34F2,DEU,IIA,3B2,BT2,NONE,O15M,2003,58,4,NONE,BEAM,80-89,1
34F3,DEU,IIA,3B2,BT2,NONE,O15M,2003,516,4,NONE,BEAM,80-89,1
34F4,DEU,IIA,3B2,BT2,NONE,O15M,2003,176,4,NONE,BEAM,80-89,1
35F3,DEU,IIA,3B2,BT2,NONE,O15M,2003,126,4,NONE,BEAM,80-89,1
35F4,DEU,IIA,3B2,BT2,NONE,O15M,2003,970,4,NONE,BEAM,80-89,1
36F2,DEU,IIA,3B2,BT2,NONE,O15M,2003,134,4,NONE,BEAM,80-89,1
36F3,DEU,IIA,3B2,BT2,NONE,O15M,2003,670,4,NONE,BEAM,80-89,1
36F4,DEU,IIA,3B2,BT2,NONE,O15M,2003,2614,4,NONE,BEAM,80-89,1
36F5,DEU,IIA,3B2,BT2,NONE,O15M,2003,1192,4,NONE,BEAM,80-89,1
36F7,DEU,IIA,3B2,BT2,NONE,O15M,2003,60,4,NONE,BEAM,80-89,1
37F2,DEU,IIA,3B2,BT2,NONE,O15M,2003,111,4,NONE,BEAM,80-89,1
37F3,DEU,IIA,3B2,BT2,NONE,O15M,2003,227,4,NONE,BEAM,80-89,1
37F4,DEU,IIA,3B2,BT2,NONE,O15M,2003,1852,4,NONE,BEAM,80-89,1
37F5,DEU,IIA,3B2,BT2,NONE,O15M,2003,908,4,NONE,BEAM,80-89,1
38F4,DEU,IIA,3B2,BT2,NONE,O15M,2003,333,4,NONE,BEAM,80-89,1
38F5,DEU,IIA,3B2,BT2,NONE,O15M,2003,96,4,NONE,BEAM,80-89,1
38F7,DEU,IIA,3B2,BT2,NONE,O15M,2003,7,4,NONE,BEAM,80-89,1
