Name,Sharks_C_abs,Rays_C_abs,Cod.adult_C_abs,Whiting.adult_C_abs,OtherGadoids_C_abs,DemersalFish_C_abs,Herring.adult_C_abs,Sprat_C_abs,Mackerel_C_abs,Plaice.adult_C_abs,Dab_C_abs,OtherFlatfish_C_abs,Sole.adult_C_abs,SeaBass_C_abs,PelagicFish_C_abs,SquidCuttlefish_C_abs,LargeCrabsShrimps _C_abs,Crangon.com_C_abs,Horse.Mackerel_C_IVc_abs,Whiting.adult_F2.5,Sprat_F1.2,Plaice_F2.6,Sole_F2.6,Herring_F2.6,SeaBass_F4.15,HorseMackerel_F_calculated,Beam_E_rel,Demersal_E_rel,Dredge_E_rel,Hooks_E_rel,Nets_E_rel,Pelagic_E_rel,Pots_E_rel,Shrimp_E_rel,B_Cod_ICES24,B_Herring_ICES24,B_Whiting_ICES24,B_Mackerel_ICES24,Horse.Mackerel_B_abs_ICES_NE_Atlantic,B_Sprat_ICES24,B_Plaice_ICES24,B_Sole_ICES24,B_Seabass_ICES24,B_Sandeels_r1_ICES24,B_OtherFlatfish_IVc_rel,B_Dab_IVc_rel,B_Rays_IVc_rel,B_Sharks_IVc_rel,B_OtherGadoids_IVc_rel,B_Demersal_IVc_rel,B_PelagicFish_IVc_abs_rescaled,B_Squid.Cuttlefish_IVc_rel
Weight,0.75,0.75,1,1,0.75,0.75,1,1,1,1,1,0.75,1,1,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
Pool code,5,6,8,10,11,12,14,15,16,20,21,22,24,25,26,27,31,36,17,10,15,20,24,14,25,17,4,2,9,8,3,6,7,5,8,14,10,16,17,15,20,24,25,18,22,21,6,5,11,12,26,27
Type,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,0.011403609,0.028945348,0.144188825,0.24711112,0.03343157,0.370067141,0.186441632,0.043552328,0.475755442,0.521256625,0.459634391,0.112075455,0.176935817,0.000985081,0.041393096,0.003045138,0.029392711,0.123723447,0.038344368,0.48,0.65,0.4,0.3,0.32,0.153,0.025442136,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1992,0.013283431,0.034677915,0.178211261,0.214188561,0.030241901,0.334288339,0.225980333,0.113556681,0.139302777,0.438525885,0.433846325,0.110047552,0.16854174,0.000843228,0.074803013,0.004862778,0.020295375,0.135132468,0.0413302,0.45,0.82,0.4,0.3,0.38,0.155,0.019929714,1.16,0.97,1,0.967941071,1,1.17,1,1.04,0.824519671,0.75841015,0.960147657,0.913466912,1.376,1.276637284,0.850224073,0.972652292,0.876029242,1.208529677,0.958037877,0.4857578,1,4.093641173,0.85539604,1.659805595,0.989404761,
1993,0.007356239,0.039974949,0.170159547,0.221481721,0.030457743,0.455597533,0.179794227,0.051253749,0.201167054,0.404289554,0.48921482,0.116208514,0.217491468,0.001024484,0.060565297,0.009568184,0.019532263,0.135651059,0.10172258,0.52,1.39,0.37,0.34,0.44,0.149,0.121393257,1.17,0.9,1,0.935882143,1,1.08,1,1.13,0.618810613,0.538353531,0.901980803,0.806408332,0.556,1.609651666,0.762818251,0.650958992,0.9050404,0.8981263,0.749950232,1.256683236,0.703814064,0.935128049,0.686922138,0.799376589,0.258973963,
1994,0.006732829,0.040033805,0.129727315,0.209966207,0.024773897,0.578600399,0.197371349,0.235757816,0.259879405,0.370900656,0.353448228,0.114528252,0.221264086,0.002513925,0.031869855,0.00904099,0.028526706,0.156316159,0.047050425,0.53,0.66,0.37,0.33,0.44,0.133,0.026728384,1.1,0.89,1,0.903823214,1,0.88,1,1.22,0.771198536,0.57280956,0.887357726,0.699606849,1.168,1.090408258,0.665197299,1.100120874,1.10850327,0.699735329,0.49587242,1.504139018,1.218084891,1.95872543,0.624419726,1.135853417,2.204980807,
1995,0.011326881,0.036596619,0.232157742,0.21697886,0.026908338,0.606122555,0.25211422,0.085831563,0.461973489,0.407340315,0.307939869,0.125382362,0.22744175,0.004105815,0.065617643,0.012337922,0.029495602,0.204105185,0.040198727,0.47,1.16,0.38,0.31,0.41,0.147,0.019801436,0.97,0.82,1,0.871764286,1,0.65,1,1.2,0.696541629,0.588262469,0.906336518,0.688347169,1.347,1.680565221,0.631628308,0.881765825,1.395613698,1.698702554,1.413831526,1.813221722,1.873854265,1.125439319,0.75351767,0.800909134,5.688266275,
1996,0.007039738,0.030593313,0.194125236,0.198007789,0.030050042,0.625599773,0.134095284,0.080173375,0.205864039,0.387552733,0.486939403,0.112925243,0.195201579,0.002143535,0.040513061,0.007081715,0.028406666,0.175771212,0.097078825,0.42,1.14,0.41,0.32,0.2,0.2,0.061113322,0.81,0.77,1,0.839705357,1,0.58,1,1.16,0.736688015,0.68965468,0.816016727,0.654322582,1.054,1.16317753,0.593034709,0.618251951,1.545132743,1.342310897,0.789153444,0.906557418,1.275632534,2.396943608,0.381469286,0.477689911,2.616495294,
1997,0.007174011,0.024436982,0.253092198,0.149376886,0.012806642,0.454962407,0.171968205,0.125768936,0.218286336,0.345689496,0.39213033,0.076287791,0.128001808,0.001702219,0.010104693,0.003855601,0.025628591,0.132398074,0.664080453,0.37,0.8,0.46,0.25,0.189,0.188,0.70387956,0.78,0.78,1,0.807646428,1,0.56,1,1.07,0.7957914,0.802401201,0.737863515,0.646223733,0.626,1.106056213,0.640978934,0.526290062,1.476490958,1.004939819,0.536031219,1.147718074,0.333650317,1.490401747,0.156602872,0.749442748,,
