Year,Month,scenario,variable,rownum
1991,1,historical,6.385879517,1
1991,2,historical,5.981704712,2
1991,3,historical,5.603764057,3
1991,4,historical,7.543740273,4
1991,5,historical,10.60502529,5
1991,6,historical,13.73739529,6
1991,7,historical,15.75478458,7
1991,8,historical,16.44046402,8
1991,9,historical,15.61574364,9
1991,10,historical,13.35267258,10
1991,11,historical,9.839722633,11
1991,12,historical,7.294311523,12
1992,1,historical,6.385879517,1
1992,2,historical,5.981704712,2
1992,3,historical,5.603764057,3
1992,4,historical,7.543740273,4
1992,5,historical,10.60502529,5
1992,6,historical,13.73739529,6
1992,7,historical,15.75478458,7
1992,8,historical,16.44046402,8
1992,9,historical,15.61574364,9
1992,10,historical,13.35267258,10
1992,11,historical,9.839722633,11
1992,12,historical,7.294311523,12
1993,1,historical,6.385879517,1
1993,2,historical,5.981704712,2
1993,3,historical,5.603764057,3
1993,4,historical,7.543740273,4
1993,5,historical,10.60502529,5
1993,6,historical,13.73739529,6
1993,7,historical,15.75478458,7
1993,8,historical,16.44046402,8
1993,9,historical,15.61574364,9
1993,10,historical,13.35267258,10
1993,11,historical,9.839722633,11
1993,12,historical,7.294311523,12
1994,1,historical,6.60320425,13
1994,2,historical,5.486123562,14
1994,3,historical,5.99257803,15
1994,4,historical,7.706233501,16
1994,5,historical,10.54414749,17
1994,6,historical,13.00293541,18
1994,7,historical,16.75789642,19
1994,8,historical,18.08860397,20
1994,9,historical,16.07743454,21
1994,10,historical,13.57947636,22
1994,11,historical,12.08684158,23
1994,12,historical,10.05277252,24
1995,1,historical,7.223448753,25
1995,2,historical,7.17828846,26
1995,3,historical,6.934340477,27
1995,4,historical,8.240451813,28
1995,5,historical,10.69902134,29
1995,6,historical,12.93535614,30
1995,7,historical,16.17929649,31
1995,8,historical,18.61814308,32
1995,9,historical,17.08536339,33
1995,10,historical,15.25822067,34
1995,11,historical,12.26163864,35
1995,12,historical,8.277604103,36
1996,1,historical,5.804676533,37
1996,2,historical,3.779598951,38
1996,3,historical,4.175791264,39
1996,4,historical,5.987259865,40
1996,5,historical,8.73630619,41
1996,6,historical,12.41162968,42
1996,7,historical,14.87774849,43
1996,8,historical,16.87973022,44
1996,9,historical,15.77191734,45
1996,10,historical,13.98153877,46
1996,11,historical,11.11568165,47
1996,12,historical,7.483251095,48
1997,1,historical,3.661114693,49
1997,2,historical,4.438995838,50
1997,3,historical,6.436635971,51
1997,4,historical,7.863610744,52
1997,5,historical,10.45736313,53
1997,6,historical,13.59303665,54
1997,7,historical,15.99092865,55
1997,8,historical,18.47639847,56
1997,9,historical,17.24071884,57
1997,10,historical,14.60591984,58
1997,11,historical,11.49415779,59
1997,12,historical,9.095589638,60
1998,1,historical,7.061088085,61
1998,2,historical,5.821831226,62
1998,3,historical,6.576701641,63
1998,4,historical,8.393473625,64
1998,5,historical,11.42447186,65
1998,6,historical,14.27668762,66
1998,7,historical,16.07639885,67
1998,8,historical,17.33044815,68
1998,9,historical,16.24438095,69
1998,10,historical,13.61369419,70
1998,11,historical,9.918030739,71
1998,12,historical,7.124547482,72
1999,1,historical,7.275781631,73
1999,2,historical,6.030108452,74
1999,3,historical,6.560558796,75
1999,4,historical,8.654565811,76
1999,5,historical,11.53365231,77
1999,6,historical,14.24168873,78
1999,7,historical,16.81454086,79
1999,8,historical,17.92321014,80
1999,9,historical,17.9216671,81
1999,10,historical,14.60969353,82
1999,11,historical,11.28736401,83
1999,12,historical,8.158677101,84
2000,1,historical,6.622049332,85
2000,2,historical,6.317548275,86
2000,3,historical,6.815462112,87
2000,4,historical,7.988927364,88
2000,5,historical,11.00415993,89
2000,6,historical,13.74850941,90
2000,7,historical,15.15805817,91
2000,8,historical,17.1733284,92
2000,9,historical,16.98301888,93
2000,10,historical,14.53575897,94
2000,11,historical,11.08377266,95
2000,12,historical,9.179487228,96
2001,1,historical,6.744553566,97
2001,2,historical,6.365307808,98
2001,3,historical,6.093138218,99
2001,4,historical,7.578098297,100
2001,5,historical,10.31885815,101
2001,6,historical,13.33006859,102
2001,7,historical,16.32126236,103
2001,8,historical,17.87323952,104
2001,9,historical,16.24932861,105
2001,10,historical,15.09077644,106
2001,11,historical,11.93304825,107
2001,12,historical,8.800110817,108
2002,1,historical,6.355193138,109
2002,2,historical,7.257407665,110
2002,3,historical,7.467924595,111
2002,4,historical,8.910368919,112
2002,5,historical,11.23072147,113
2002,6,historical,14.33546066,114
2002,7,historical,16.12896729,115
2002,8,historical,18.37880516,116
2002,9,historical,17.72232437,117
2002,10,historical,14.53009129,118
2002,11,historical,11.75981236,119
2002,12,historical,8.745095253,120
2003,1,historical,6.840929985,121
2003,2,historical,5.426308155,122
2003,3,historical,6.215277195,123
2003,4,historical,7.894813538,124
2003,5,historical,11.00235558,125
2003,6,historical,14.68846989,126
2003,7,historical,17.30481911,127
2003,8,historical,19.1770153,128
2003,9,historical,17.88521385,129
2003,10,historical,14.19785786,130
