Year,Month,scenario,variable
1991,1,historical,6.385879517
1991,2,historical,5.981704712
1991,3,historical,5.603764057
1991,4,historical,7.543740273
1991,5,historical,10.60502529
1991,6,historical,13.73739529
1991,7,historical,15.75478458
1991,8,historical,16.44046402
1991,9,historical,15.61574364
1991,10,historical,13.35267258
1991,11,historical,9.839722633
1991,12,historical,7.294311523
1992,1,historical,6.385879517
1992,2,historical,5.981704712
1992,3,historical,5.603764057
1992,4,historical,7.543740273
1992,5,historical,10.60502529
1992,6,historical,13.73739529
1992,7,historical,15.75478458
1992,8,historical,16.44046402
1992,9,historical,15.61574364
1992,10,historical,13.35267258
1992,11,historical,9.839722633
1992,12,historical,7.294311523
1993,1,historical,6.385879517
1993,2,historical,5.981704712
1993,3,historical,5.603764057
1993,4,historical,7.543740273
1993,5,historical,10.60502529
1993,6,historical,13.73739529
1993,7,historical,15.75478458
1993,8,historical,16.44046402
1993,9,historical,15.61574364
1993,10,historical,13.35267258
1993,11,historical,9.839722633
1993,12,historical,7.294311523
1994,1,historical,6.60320425
1994,2,historical,5.486123562
1994,3,historical,5.99257803
1994,4,historical,7.706233501
1994,5,historical,10.54414749
1994,6,historical,13.00293541
1994,7,historical,16.75789642
1994,8,historical,18.08860397
1994,9,historical,16.07743454
1994,10,historical,13.57947636
1994,11,historical,12.08684158
1994,12,historical,10.05277252
1995,1,historical,7.223448753
1995,2,historical,7.17828846
1995,3,historical,6.934340477
1995,4,historical,8.240451813
1995,5,historical,10.69902134
1995,6,historical,12.93535614
1995,7,historical,16.17929649
1995,8,historical,18.61814308
1995,9,historical,17.08536339
1995,10,historical,15.25822067
1995,11,historical,12.26163864
1995,12,historical,8.277604103
1996,1,historical,5.804676533
1996,2,historical,3.779598951
1996,3,historical,4.175791264
1996,4,historical,5.987259865
1996,5,historical,8.73630619
1996,6,historical,12.41162968
1996,7,historical,14.87774849
1996,8,historical,16.87973022
1996,9,historical,15.77191734
1996,10,historical,13.98153877
1996,11,historical,11.11568165
1996,12,historical,7.483251095
1997,1,historical,3.661114693
1997,2,historical,4.438995838
1997,3,historical,6.436635971
1997,4,historical,7.863610744
1997,5,historical,10.45736313
1997,6,historical,13.59303665
1997,7,historical,15.99092865
1997,8,historical,18.47639847
1997,9,historical,17.24071884
1997,10,historical,14.60591984
1997,11,historical,11.49415779
1997,12,historical,9.095589638
1998,1,historical,7.061088085
1998,2,historical,5.821831226
1998,3,historical,6.576701641
1998,4,historical,8.393473625
1998,5,historical,11.42447186
1998,6,historical,14.27668762
1998,7,historical,16.07639885
1998,8,historical,17.33044815
1998,9,historical,16.24438095
1998,10,historical,13.61369419
1998,11,historical,9.918030739
1998,12,historical,7.124547482
1999,1,historical,7.275781631
1999,2,historical,6.030108452
1999,3,historical,6.560558796
1999,4,historical,8.654565811
1999,5,historical,11.53365231
1999,6,historical,14.24168873
1999,7,historical,16.81454086
1999,8,historical,17.92321014
1999,9,historical,17.9216671
1999,10,historical,14.60969353
1999,11,historical,11.28736401
1999,12,historical,8.158677101
2000,1,historical,6.622049332
2000,2,historical,6.317548275
2000,3,historical,6.815462112
2000,4,historical,7.988927364
2000,5,historical,11.00415993
2000,6,historical,13.74850941
2000,7,historical,15.15805817
2000,8,historical,17.1733284
2000,9,historical,16.98301888
2000,10,historical,14.53575897
2000,11,historical,11.08377266
2000,12,historical,9.179487228
2001,1,historical,6.744553566
2001,2,historical,6.365307808
2001,3,historical,6.093138218
2001,4,historical,7.578098297
2001,5,historical,10.31885815
2001,6,historical,13.33006859
2001,7,historical,16.32126236
2001,8,historical,17.87323952
2001,9,historical,16.24932861
2001,10,historical,15.09077644
2001,11,historical,11.93304825
2001,12,historical,8.800110817
2002,1,historical,6.355193138
2002,2,historical,7.257407665
2002,3,historical,7.467924595
2002,4,historical,8.910368919
2002,5,historical,11.23072147
2002,6,historical,14.33546066
2002,7,historical,16.12896729
2002,8,historical,18.37880516
2002,9,historical,17.72232437
2002,10,historical,14.53009129
2002,11,historical,11.75981236
2002,12,historical,8.745095253
2003,1,historical,6.840929985
2003,2,historical,5.426308155
2003,3,historical,6.215277195
2003,4,historical,7.894813538
2003,5,historical,11.00235558
2003,6,historical,14.68846989
2003,7,historical,17.30481911
2003,8,historical,19.1770153
2003,9,historical,17.88521385
2003,10,historical,14.19785786
2003,11,historical,11.05360603
2003,12,historical,8.906866074
2004,1,historical,6.387229919
2004,2,historical,5.769944668
2004,3,historical,5.517742634
2004,4,historical,8.077411652
2004,5,historical,11.16190529
2004,6,historical,14.38641453
2004,7,historical,16.47555733
2004,8,historical,18.57494354
2004,9,historical,17.00948334
2004,10,historical,14.00698566
2004,11,historical,11.25733757
2004,12,historical,8.370977402
2005,1,historical,7.038896084
2005,2,historical,5.686311722
2005,3,historical,4.974205494
2005,4,historical,7.389231205
2005,5,historical,10.21583748
2005,6,historical,13.50750732
2005,7,historical,16.5129776
2005,8,historical,17.07502747
2005,9,historical,17.51451302
2005,10,historical,15.65204716
2005,11,historical,12.8251152
2005,12,historical,8.515385628
2006,1,historical,5.977519035
2006,2,historical,4.971371651
2006,3,historical,4.426142693
2006,4,historical,6.865778923
2006,5,historical,10.30703831
2006,6,historical,13.32185459
2006,7,historical,17.34173965
2006,8,historical,18.20238304
2006,9,historical,17.8771801
2006,10,historical,16.31001472
2006,11,historical,12.59336853
2006,12,historical,10.06019402
2007,1,historical,8.391619682
2007,2,historical,7.214568615
2007,3,historical,7.909268856
2007,4,historical,9.50959301
2007,5,historical,12.15142822
2007,6,historical,14.85380745
2007,7,historical,16.36691475
2007,8,historical,17.54525757
2007,9,historical,16.72221184
2007,10,historical,14.60803699
2007,11,historical,11.24376869
2007,12,historical,8.33343792
2008,1,historical,7.129430294
2008,2,historical,6.833724976
2008,3,historical,6.808523178
2008,4,historical,7.893885136
2008,5,historical,11.45468044
2008,6,historical,14.34829521
2008,7,historical,16.53909111
2008,8,historical,17.6887722
2008,9,historical,16.62816048
2008,10,historical,13.855793
2008,11,historical,10.73410511
2008,12,historical,7.528897762
2009,1,historical,5.392636299
2009,2,historical,4.575044632
2009,3,historical,5.777458668
2009,4,historical,8.34236908
2009,5,historical,11.3346405
2009,6,historical,14.35212421
2009,7,historical,17.0764637
2009,8,historical,18.26461029
2009,9,historical,16.9552002
2009,10,historical,14.60375881
2009,11,historical,12.26865101
2009,12,historical,9.012817383
2010,1,historical,5.372740746
2010,2,historical,4.077969551
2010,3,historical,4.656576157
2010,4,historical,7.299186707
2010,5,historical,9.982901573
2010,6,historical,13.3102417
2010,7,historical,16.70035172
2010,8,historical,17.56511497
2010,9,historical,16.19769859
2010,10,historical,14.14595604
2010,11,historical,10.95875645
2010,12,historical,6.234472752
2011,1,historical,4.850758553
2011,2,historical,5.212569714
2011,3,historical,5.719484806
2011,4,historical,8.516165733
2011,5,historical,11.69620323
2011,6,historical,14.40077305
2011,7,historical,16.29531479
2011,8,historical,17.034729
2011,9,historical,16.39685249
2011,10,historical,14.7840538
2011,11,historical,12.47284698
2011,12,historical,8.956021309
2012,1,historical,7.107910156
2012,2,historical,4.885202408
2012,3,historical,6.041357994
2012,4,historical,7.905747414
2012,5,historical,10.38956928
2012,6,historical,13.44557667
2012,7,historical,16.08586693
2012,8,historical,17.88313675
2012,9,historical,16.8398571
2012,10,historical,13.83625507
2012,11,historical,10.73892975
2012,12,historical,7.71693182
