Index,Sal,variable,Harbour porpoise,Seals,Sharks,Rays,Cod (adult),Whiting (adult),Other gadoids,Demersal fish,Herring (adult),Herring (adult) (Ru),Juvenile Herring (Ru),Sprat,Mackerel,Mackerel (Ru),Horse mackerel,Sandeels,Plaice (adult),Dab,Other flatfish,Sole (adult),Sea Bass,Sea Bass (Ru),Pelagic fish,Squid & cuttlefish,Carnivorous plankton,Temora longicornis,Herbivorous plankton (copepods),Gelatinous zooplankton,Large crabs + shrimps ,Blue mussels (aquaculture),Epifaunal macrobenthos (mobile grazers),Infaunal macrobenthos,Crangon (below 5cm),Small mobile epifauna (swarming crustaceans),Small infauna (polychaetes),Sessile epifauna
1,0,0.016666667,2.57E-05,0.000142005,2.61E-06,9.51E-09,3.85E-16,6.14E-06,5.18E-07,7.98E-07,0.000116621,1.58E-05,1.58E-05,6.63E-05,0,1.39E-11,1.98E-06,4.30E-05,4.53E-13,7.64E-09,8.49E-05,2.69E-07,1.96E-07,0.5,9.85E-06,6.40E-09,1.54E-08,0.5,4.09E-07,3.31E-05,1.30E-07,0.000173106,7.32E-07,4.46E-08,7.47E-05,7.98E-18,5.93E-08,2.72E-07
2,0.033333333,0.05,2.64E-05,0.000146388,2.67E-06,9.76E-09,4.65E-16,6.35E-06,5.31E-07,8.21E-07,0.000124806,1.62E-05,1.62E-05,7.17E-05,0,1.44E-11,2.03E-06,4.43E-05,5.24E-13,8.42E-09,8.75E-05,2.85E-07,2.01E-07,0.5,1.01E-05,6.58E-09,1.59E-08,0.5,4.20E-07,3.41E-05,1.33E-07,0.000180563,7.50E-07,4.59E-08,7.79E-05,8.34E-18,6.10E-08,2.79E-07
3,0.066666667,0.083333333,2.71E-05,0.000150905,2.73E-06,1.00E-08,5.62E-16,6.57E-06,5.45E-07,8.43E-07,0.000133565,1.65E-05,1.65E-05,7.74E-05,0,1.48E-11,2.08E-06,4.56E-05,6.05E-13,9.28E-09,9.02E-05,3.01E-07,2.06E-07,0.5,1.04E-05,6.75E-09,1.63E-08,0.5,4.31E-07,3.51E-05,1.36E-07,0.00018834,7.69E-07,4.71E-08,8.11E-05,8.73E-18,6.27E-08,2.87E-07
4,0.1,0.116666667,2.77E-05,0.000155562,2.80E-06,1.03E-08,6.80E-16,6.79E-06,5.58E-07,8.67E-07,0.000142939,1.69E-05,1.69E-05,8.36E-05,0,1.53E-11,2.13E-06,4.69E-05,6.99E-13,1.02E-08,9.29E-05,3.18E-07,2.11E-07,0.5,1.06E-05,6.93E-09,1.68E-08,0.5,4.42E-07,3.61E-05,1.40E-07,0.000196452,7.88E-07,4.84E-08,8.45E-05,9.13E-18,6.45E-08,2.95E-07
5,0.133333333,0.15,2.85E-05,0.000160363,2.86E-06,1.06E-08,8.21E-16,7.02E-06,5.72E-07,8.91E-07,0.000152971,1.73E-05,1.73E-05,9.04E-05,0,1.59E-11,2.18E-06,4.82E-05,8.08E-13,1.13E-08,9.58E-05,3.37E-07,2.17E-07,0.5,1.09E-05,7.12E-09,1.73E-08,0.5,4.53E-07,3.72E-05,1.43E-07,0.000204914,8.07E-07,4.97E-08,8.81E-05,9.55E-18,6.63E-08,3.03E-07
6,0.166666667,0.183333333,2.92E-05,0.000165311,2.93E-06,1.08E-08,9.92E-16,7.26E-06,5.87E-07,9.16E-07,0.000163707,1.77E-05,1.77E-05,9.76E-05,0,1.64E-11,2.23E-06,4.96E-05,9.34E-13,1.24E-08,9.87E-05,3.56E-07,2.22E-07,0.5,1.12E-05,7.31E-09,1.78E-08,0.5,4.65E-07,3.82E-05,1.47E-07,0.00021374,8.27E-07,5.11E-08,9.18E-05,9.99E-18,6.82E-08,3.11E-07
7,0.2,0.216666667,2.99E-05,0.000170413,3.00E-06,1.11E-08,1.20E-15,7.50E-06,6.01E-07,9.42E-07,0.000175195,1.81E-05,1.81E-05,0.000105467,0,1.70E-11,2.28E-06,5.11E-05,1.08E-12,1.37E-08,0.000101722,3.77E-07,2.28E-07,0.5,1.14E-05,7.51E-09,1.83E-08,0.5,4.77E-07,3.93E-05,1.50E-07,0.000222946,8.47E-07,5.25E-08,9.56E-05,1.04E-17,7.01E-08,3.19E-07
8,0.233333333,0.25,3.07E-05,0.000175672,3.07E-06,1.14E-08,1.45E-15,7.76E-06,6.17E-07,9.68E-07,0.000187491,1.86E-05,1.86E-05,0.000113939,0,1.75E-11,2.33E-06,5.25E-05,1.25E-12,1.51E-08,0.000104837,3.98E-07,2.34E-07,0.5,1.17E-05,7.71E-09,1.88E-08,0.5,4.89E-07,4.05E-05,1.54E-07,0.000232549,8.68E-07,5.39E-08,9.96E-05,1.09E-17,7.21E-08,3.28E-07
9,0.266666667,0.283333333,3.15E-05,0.000181093,3.14E-06,1.17E-08,1.75E-15,8.02E-06,6.32E-07,9.95E-07,0.000200648,1.90E-05,1.90E-05,0.000123092,0,1.81E-11,2.39E-06,5.41E-05,1.44E-12,1.66E-08,0.000108047,4.21E-07,2.40E-07,0.5,1.20E-05,7.92E-09,1.93E-08,0.5,5.02E-07,4.17E-05,1.58E-07,0.000242565,8.90E-07,5.54E-08,0.000103806,1.14E-17,7.41E-08,3.37E-07
10,0.3,0.316666667,3.23E-05,0.000186681,3.21E-06,1.20E-08,2.12E-15,8.29E-06,6.48E-07,1.02E-06,0.000214729,1.94E-05,1.94E-05,0.00013298,0,1.87E-11,2.45E-06,5.56E-05,1.67E-12,1.83E-08,0.000111355,4.45E-07,2.46E-07,0.5,1.23E-05,8.14E-09,1.99E-08,0.5,5.14E-07,4.29E-05,1.62E-07,0.000253012,9.11E-07,5.69E-08,0.000108161,1.20E-17,7.62E-08,3.46E-07
11,0.333333333,0.35,3.31E-05,0.000192442,3.29E-06,1.24E-08,2.56E-15,8.57E-06,6.64E-07,1.05E-06,0.000229798,1.99E-05,1.99E-05,0.000143661,0,1.94E-11,2.50E-06,5.72E-05,1.92E-12,2.02E-08,0.000114764,4.71E-07,2.52E-07,0.5,1.26E-05,8.36E-09,2.04E-08,0.5,5.28E-07,4.41E-05,1.66E-07,0.000263909,9.34E-07,5.84E-08,0.000112699,1.25E-17,7.84E-08,3.55E-07
12,0.366666667,0.383333333,3.40E-05,0.00019838,3.37E-06,1.27E-08,3.09E-15,8.87E-06,6.81E-07,1.08E-06,0.000245925,2.03E-05,2.03E-05,0.000155201,0,2.00E-11,2.56E-06,5.89E-05,2.22E-12,2.23E-08,0.000118278,4.98E-07,2.59E-07,0.5,1.29E-05,8.58E-09,2.10E-08,0.5,5.41E-07,4.54E-05,1.70E-07,0.000275275,9.57E-07,6.00E-08,0.000117428,1.31E-17,8.06E-08,3.64E-07
13,0.4,0.416666667,3.49E-05,0.000204502,3.45E-06,1.30E-08,3.73E-15,9.17E-06,6.98E-07,1.11E-06,0.000263182,2.08E-05,2.08E-05,0.000167668,0,2.07E-11,2.62E-06,6.06E-05,2.57E-12,2.46E-08,0.000121899,5.27E-07,2.65E-07,0.5,1.33E-05,8.81E-09,2.16E-08,0.5,5.55E-07,4.67E-05,1.75E-07,0.000287131,9.80E-07,6.16E-08,0.000122355,1.37E-17,8.28E-08,3.74E-07
14,0.433333333,0.45,3.58E-05,0.000210813,3.53E-06,1.34E-08,4.51E-15,9.48E-06,7.16E-07,1.14E-06,0.00028165,2.13E-05,2.13E-05,0.000181135,0,2.14E-11,2.68E-06,6.24E-05,2.97E-12,2.71E-08,0.000125632,5.57E-07,2.72E-07,0.5,1.36E-05,9.05E-09,2.22E-08,0.5,5.69E-07,4.81E-05,1.79E-07,0.000299497,1.00E-06,6.33E-08,0.000127489,1.43E-17,8.52E-08,3.84E-07
15,0.466666667,0.483333333,3.67E-05,0.000217318,3.61E-06,1.37E-08,5.45E-15,9.80E-06,7.34E-07,1.17E-06,0.000301414,2.18E-05,2.18E-05,0.000195685,0,2.21E-11,2.75E-06,6.42E-05,3.43E-12,2.98E-08,0.000129478,5.89E-07,2.79E-07,0.5,1.39E-05,9.30E-09,2.28E-08,0.5,5.84E-07,4.95E-05,1.84E-07,0.000312396,1.03E-06,6.51E-08,0.000132838,1.50E-17,8.76E-08,3.95E-07
