,"Group name","Comm. Other (t/km²/year)","Comm. Demersal (t/km²/year)","Comm. Nets (t/km²/year)","Comm. Beam (t/km²/year)","Comm. Shrimp (t/km²/year)","Comm. Pelagic (t/km²/year)","Comm. Pots (t/km²/year)","Comm. Hooks (t/km²/year)","Comm. Dredge (t/km²/year)","Aquaculture (blue mussels) (t/km²/year)","Recr. Anglers (boat) (t/km²/year)","Recr. Trawlers (t/km²/year)","Recr. Anglers (land) (t/km²/year)","Recr. Nets (t/km²/year)","Recr. Others (t/km²/year)","TotalCatch (t/km²/year)",
1,"Harbour porpoise",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,Seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,Seabirds (discard),0,0,6E-08,0,0,0,0,6.15E-06,0,0,0,0,0,0,0,6.21E-06,
4,Seabirds (non-discard),0,0,3.15E-05,0,0,0,0,1.93E-06,0,0,0,0,0,0,0,3.343E-05,
5,Sharks,0,0.002768934,0.00351454,0.0007647,1.31E-06,0,3.48E-06,0.00434,0,0,0.0001551064,6.65E-06,0,5.825291E-06,0,0.01156055,
6,Rays,0,0.005810906,0.00141154,0.01903543,1.11E-05,5.43E-07,3.72E-05,0.00268,7.52E-07,0,0,0,0,0,2.87E-06,0.02899035,
7,"Juvenile Cod",0,0.005879791,8E-05,0.003888941,4.05E-06,0.00030421,0,1.32E-05,0,0,0,0,0,0,0,0.01017019,
8,"Cod (adult)",0,0.03478367,0.0175126,0.07147716,0.003440582,0.0018738,3.67E-05,0.01500658,1.23E-05,0,0.002608369,1.8E-06,5.416368E-05,1.211938E-05,0,0.1468198,
9,"Juvenile Whiting",0,0.09519688,0,0.8768977,0.000994955,0,0,0,0,0,0.00068856,8.15E-06,9.43675E-05,2.845E-06,2.99E-06,0.9738865,
10,"Whiting (adult)",0,0.18696,0.000914,0.0457,0.0117,0.00153,0,0.000228,8.42E-06,0,0.009748408,5.402432E-05,0.003546427,4.096503E-05,0.0001072941,0.2605376,
11,"Other gadoids",0,0.006923822,0.003960884,0.0225123,0,0,0,2.42E-05,0,0,0.0004991687,0,0.0001253505,0,0,0.03404573,
12,"Demersal fish",0,0.3425009,0.01188539,0.01278482,0.0001244424,0,0.0002671431,0.002504467,0,0,0.0005991709,6.95E-06,0.0002159935,6.982453E-05,1.906652E-05,0.3709782,
13,"Juvenile Herring",0,8.63E-06,0,0.008243455,0,5.23E-08,0,0,0,0,0,7.85E-08,0,2.22E-08,7.4E-07,0.008252977,
14,"Herring (adult)",0,0.00088,0.000523,0.00133,0,0.184,0,0,0,0,1.102802E-06,1.501382E-05,0,9.344137E-07,0,0.1867501,
15,Sprat,6.250001E-05,0.01990013,0.0001850001,4.57E-08,1.115E-05,0.0234,0,1.75E-06,7.3E-07,0,0,0,0,0,0,0.0435613,
16,Mackerel,0,0.4604901,0.000192,2.75E-05,6.84E-05,0.01500009,0,1.89E-06,0,0,0.006436358,0,1.87E-06,8.842916E-06,4.02E-07,0.4822274,
17,"Horse mackerel",0,0.01588895,6.58E-07,4.97E-05,2.14E-06,0.03450083,0,0,0,0,0.0003235512,0,6.263867E-06,2.182405E-05,0,0.05079392,
18,Sandeels,0,0.0453,0,0,0,0.000681,1.79E-07,0,0,0,2.727918E-06,0,6.45E-08,0,0,0.04598397,
19,"Juvenile Plaice",0,0.001733315,1.58E-05,0.2312031,0.000152748,7.93E-08,0,0,0,0,1.51E-05,1.43E-06,1.84E-06,2.925E-06,1.19E-05,0.2331382,
20,"Plaice (adult)",1.11E-06,0.006030132,0.0009553,0.5127709,0.00153,7.79594E-05,0,2.91E-07,4.73E-07,0,0.0007223465,1.65648E-05,1.338481E-05,6.410937E-06,1.838687E-05,0.5221433,
21,Dab,1.53E-07,0.1280397,0.0002917,0.3262717,0.005145785,0.000251,0,6.52E-06,1.02E-05,0,0.008685991,7.389634E-05,0.0008707534,3.641437E-05,0.0004348154,0.4701186,
22,"Other flatfish",3.6819E-07,0.003364656,0.001202556,0.1072025,0.00014969,1.571E-05,0,6.82E-05,2.2E-06,0,0.002389573,3.209817E-05,0.0006935525,9.289474E-05,0.0003815711,0.1155956,
23,"Juvenile Sole",0,1.88E-05,0,0,0.01578015,0,0,0,0,0,8.7497E-05,3.465E-06,8.5E-06,7.3E-07,2.005E-05,0.01591919,
24,"Sole (adult)",3.12E-05,0.0039489,0.00712,0.165,0.000819,1.76E-05,0.000183,8.84E-06,2.66E-07,0,0.004891361,3.431708E-05,0.0003134866,0.0001853593,0.000316245,0.1828696,
25,"Sea Bass",0,0.0002969,0.000336,0.000281,6.43E-06,0,3.4E-07,6.48E-05,0,0,0.003367668,6.6E-07,0.001887832,0.0004424164,2.35E-05,0.006707546,
26,"Pelagic fish",0,0.000213,3.24E-06,5.86E-07,0,0.0408,0,0,0,0,0,0,0,3.26E-05,0,0.04104943,
27,"Squid & cuttlefish",0,0.0009182999,0.000738,0.00129,0,8.84E-07,9.36E-05,1.84E-06,0,0,0,7.7E-07,0,2.065452E-05,5.6E-06,0.003069649,
28,"Carnivorous zooplankton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,"Temora longicornis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,"Herbivorous plankton (copepods)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,"Gelatinous zooplankton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,"Large crabs + shrimps ",0,0.001001368,0.00010028,0.002907516,0.000371,5.5785E-07,0.025,9.62E-06,8.34E-09,0,0,0,0,0,0,0.02939035,
33,"Blue mussels (reefs)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,"Blue mussels (aquaculture)",0,0,0,0,0,0,0,0,0,1E-11,0,0,0,0,0,1E-11,
35,"Epifaunal macrobenthos (mobile grazers)",0,5.13E-07,0,6.66E-06,0,0,0,0,0.000158,0,0,0,0,0,0,0.000165173,
