group,species,
1,Harbour porpoise,
2,Seals,
3,Seabirds (discard),
4,Seabirds (non-discard),
5,Sharks,
6,Rays,x
7,Juvenile Cod,
8,Cod (adult),
9,Juvenile Whiting,
10,Whiting (adult),x
11,Other gadoids,
12,Demersal fish,
13,Juvenile Herring,
14,Herring (adult),
15,Sprat,x
16,Mackerel,
17,Horse mackerel,
18,Sandeels,x
19,Juvenile Plaice,
20,Plaice (adult),
21,Dab,
22,Other flatfish,
23,Juvenile Sole,
24,Sole (adult),
25,Sea Bass,x
26,Pelagic fish,
27,Squid & cuttlefish,
28,Carnivorous zooplankton,
29,Temora longicornis,
30,Herbivorous plankton (copepods),
31,Gelatinous zooplankton,
32,Large crabs + shrimps ,
33,Blue mussels (reefs),
34,Blue mussels (aquaculture),
35,Epifaunal macrobenthos (mobile grazers),
36,Infaunal macrobenthos,
37,Crangon,
38,Small mobile epifauna (swarming crustaceans),
39,Small infauna (polychaetes),
40,Sessile epifauna,
41,Meiofauna,
42,Phytoplankton,
43,Detritus,
44,Discards,
