Index,1,2,4,5,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,sal,SST_new_y,PP_anomaly,Mortality_blue_mussels_reef,NAO_10y_inv,NAO_10y_inv2,NAO_10y_inv3,AMO_3y_1,AMO_3y_2,AMO_3y_3,T_Harbour.porpoise,T_Seals,T_Sharks,T_Rays,T_Cod..adult.,T_Whiting..adult.,T_Other.gadoids,T_Demersal.fish,T_Herring..adult.,T_Herring..adult...Ru.,T_Juvenile.Herring..Ru.,T_Sprat,T_Mackerel,T_Mackerel..Ru.,T_Horse.mackerel,T_Sandeels,T_Plaice..adult.,T_Dab,T_Other.flatfish,T_Sole..adult.,T_Sea.Bass,T_Sea.Bass..Ru.,T_Pelagic.fish,T_Squid...cuttlefish,T_Carnivorous.plankton,T_Temora.longicornis,T_Herbivorous.plankton..copepods.,T_Gelatinous.zooplankton,T_Large.crabs...shrimps,T_Blue.mussels..aquaculture.,T_Epifaunal.macrobenthos..mobile.grazers.,T_Infaunal.macrobenthos,T_Crangon..below.5cm.,T_Small.mobile.epifauna..swarming.crustaceans.,T_Small.infauna..polychaetes.,T_Sessile.epifauna,S_Harbour.porpoise,S_Seals,S_Sharks,S_Rays,S_Cod..adult.,S_Whiting..adult.,S_Other.gadoids,S_Demersal.fish,S_Herring..adult.,S_Herring..adult...Ru.,S_Juvenile.Herring..Ru.,S_Sprat,S_Mackerel,S_Mackerel..Ru.,S_Horse.mackerel,S_Sandeels,S_Plaice..adult.,S_Dab,S_Other.flatfish,S_Sole..adult.,S_Sea.Bass,S_Sea.Bass..Ru.,S_Pelagic.fish,S_Squid...cuttlefish,S_Carnivorous.plankton,S_Temora.longicornis,S_Herbivorous.plankton..copepods.,S_Gelatinous.zooplankton,S_Large.crabs...shrimps,S_Blue.mussels..aquaculture.,S_Epifaunal.macrobenthos..mobile.grazers.,S_Infaunal.macrobenthos,S_Crangon..below.5cm.,S_Small.mobile.epifauna..swarming.crustaceans.,S_Small.infauna..polychaetes.,S_Sessile.epifauna,PO4_y_copernicus_1,PO4_y_copernicus_2,PO4_y_copernicus_3,PO4_y_copernicus_4,PO4_y_schelde_1,PO4_y_schelde_2,PO4_y_schelde_3,PO4_y_schelde_4
1991,34.18649,10.64924,0.983368,1000000,1,1,1,1,1,1,0.9953138,0.9854091,0.8845289,0.8461049,0.7157218,0.727035,0.7018121,0.9381007,0.9637328,0.7865205,0.6879638,0.8462531,0.750415,0.5858169,0.8366964,0.6005943,0.8547388,0.4831136,0.6220679,0.7192135,0.5833005,0.5827201,0.7769385,0.7634968,0.6912809,0.8671914,0.842022,0.9985306,0.7251425,0.9953081,0.9357688,0.8865516,0.7454463,0.4074787,0.9809309,0.9981453,0.993893,0.9929523,0.9999796,0.9997829,0.988727,1,0.9996426,0.9997068,0.9929564,1,1,0.9999627,0.9999999,1,0.9999763,0.9956048,0.995781,0.997614,0.9982892,0.9999578,0.9999676,0.5,1,0.9997817,0.9910935,0.5,0.9995272,0.9959524,0.9985783,0.9937638,0.9991276,0.9991795,0.992964,0.9969575,0.9973494,0.9968649,1,1,1,1,1,1,1,1
February,34.18649,10.64924,0.9833817,1000000,1,1,1,1,1,1,0.9953138,0.9854091,0.8845289,0.8461049,0.7157218,0.727035,0.7018121,0.9381007,0.9637328,0.7865205,0.6879638,0.8462531,0.750415,0.5858169,0.8366964,0.6005943,0.8547388,0.4831136,0.6220679,0.7192135,0.5833005,0.5827201,0.7769385,0.7634968,0.6912809,0.8671914,0.842022,0.9985306,0.7251425,0.9953081,0.9357688,0.8865516,0.7454463,0.4074787,0.9809309,0.9981453,0.993893,0.9929523,0.9999796,0.9997829,0.988727,1,0.9996426,0.9997068,0.9929564,1,1,0.9999627,0.9999999,1,0.9999763,0.9956048,0.995781,0.997614,0.9982892,0.9999578,0.9999676,0.5,1,0.9997817,0.9910935,0.5,0.9995272,0.9959524,0.9985783,0.9937638,0.9991276,0.9991795,0.992964,0.9969575,0.9973494,0.9968649,1,1,1,1,1,1,1,1
March,34.18649,10.64924,0.9834225,1000000,1,1,1,1,1,1,0.9953138,0.9854091,0.8845289,0.8461049,0.7157218,0.727035,0.7018121,0.9381007,0.9637328,0.7865205,0.6879638,0.8462531,0.750415,0.5858169,0.8366964,0.6005943,0.8547388,0.4831136,0.6220679,0.7192135,0.5833005,0.5827201,0.7769385,0.7634968,0.6912809,0.8671914,0.842022,0.9985306,0.7251425,0.9953081,0.9357688,0.8865516,0.7454463,0.4074787,0.9809309,0.9981453,0.993893,0.9929523,0.9999796,0.9997829,0.988727,1,0.9996426,0.9997068,0.9929564,1,1,0.9999627,0.9999999,1,0.9999763,0.9956048,0.995781,0.997614,0.9982892,0.9999578,0.9999676,0.5,1,0.9997817,0.9910935,0.5,0.9995272,0.9959524,0.9985783,0.9937638,0.9991276,0.9991795,0.992964,0.9969575,0.9973494,0.9968649,1,1,1,1,1,1,1,1
April,34.18649,10.64924,0.9834899,1000000,1,1,1,1,1,1,0.9953138,0.9854091,0.8845289,0.8461049,0.7157218,0.727035,0.7018121,0.9381007,0.9637328,0.7865205,0.6879638,0.8462531,0.750415,0.5858169,0.8366964,0.6005943,0.8547388,0.4831136,0.6220679,0.7192135,0.5833005,0.5827201,0.7769385,0.7634968,0.6912809,0.8671914,0.842022,0.9985306,0.7251425,0.9953081,0.9357688,0.8865516,0.7454463,0.4074787,0.9809309,0.9981453,0.993893,0.9929523,0.9999796,0.9997829,0.988727,1,0.9996426,0.9997068,0.9929564,1,1,0.9999627,0.9999999,1,0.9999763,0.9956048,0.995781,0.997614,0.9982892,0.9999578,0.9999676,0.5,1,0.9997817,0.9910935,0.5,0.9995272,0.9959524,0.9985783,0.9937638,0.9991276,0.9991795,0.992964,0.9969575,0.9973494,0.9968649,1,1,1,1,1,1,1,1
May,34.18649,10.64924,0.9835835,1000000,1,1,1,1,1,1,0.9953138,0.9854091,0.8845289,0.8461049,0.7157218,0.727035,0.7018121,0.9381007,0.9637328,0.7865205,0.6879638,0.8462531,0.750415,0.5858169,0.8366964,0.6005943,0.8547388,0.4831136,0.6220679,0.7192135,0.5833005,0.5827201,0.7769385,0.7634968,0.6912809,0.8671914,0.842022,0.9985306,0.7251425,0.9953081,0.9357688,0.8865516,0.7454463,0.4074787,0.9809309,0.9981453,0.993893,0.9929523,0.9999796,0.9997829,0.988727,1,0.9996426,0.9997068,0.9929564,1,1,0.9999627,0.9999999,1,0.9999763,0.9956048,0.995781,0.997614,0.9982892,0.9999578,0.9999676,0.5,1,0.9997817,0.9910935,0.5,0.9995272,0.9959524,0.9985783,0.9937638,0.9991276,0.9991795,0.992964,0.9969575,0.9973494,0.9968649,1,1,1,1,1,1,1,1
June,34.18649,10.64924,0.9837027,1000000,1,1,1,1,1,1,0.9953138,0.9854091,0.8845289,0.8461049,0.7157218,0.727035,0.7018121,0.9381007,0.9637328,0.7865205,0.6879638,0.8462531,0.750415,0.5858169,0.8366964,0.6005943,0.8547388,0.4831136,0.6220679,0.7192135,0.5833005,0.5827201,0.7769385,0.7634968,0.6912809,0.8671914,0.842022,0.9985306,0.7251425,0.9953081,0.9357688,0.8865516,0.7454463,0.4074787,0.9809309,0.9981453,0.993893,0.9929523,0.9999796,0.9997829,0.988727,1,0.9996426,0.9997068,0.9929564,1,1,0.9999627,0.9999999,1,0.9999763,0.9956048,0.995781,0.997614,0.9982892,0.9999578,0.9999676,0.5,1,0.9997817,0.9910935,0.5,0.9995272,0.9959524,0.9985783,0.9937638,0.9991276,0.9991795,0.992964,0.9969575,0.9973494,0.9968649,1,1,1,1,1,1,1,1
July,34.18649,10.64924,0.9838475,1000000,1,1,1,1,1,1,0.9953138,0.9854091,0.8845289,0.8461049,0.7157218,0.727035,0.7018121,0.9381007,0.9637328,0.7865205,0.6879638,0.8462531,0.750415,0.5858169,0.8366964,0.6005943,0.8547388,0.4831136,0.6220679,0.7192135,0.5833005,0.5827201,0.7769385,0.7634968,0.6912809,0.8671914,0.842022,0.9985306,0.7251425,0.9953081,0.9357688,0.8865516,0.7454463,0.4074787,0.9809309,0.9981453,0.993893,0.9929523,0.9999796,0.9997829,0.988727,1,0.9996426,0.9997068,0.9929564,1,1,0.9999627,0.9999999,1,0.9999763,0.9956048,0.995781,0.997614,0.9982892,0.9999578,0.9999676,0.5,1,0.9997817,0.9910935,0.5,0.9995272,0.9959524,0.9985783,0.9937638,0.9991276,0.9991795,0.992964,0.9969575,0.9973494,0.9968649,1,1,1,1,1,1,1,1
