,"Prey \ predator",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,
1,"Harbour porpoise",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Seals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Seabirds (discard),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Seabirds (non-discard),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sharks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Rays,,,,,,,,1.158978,,,,41.50497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Juvenile Cod",1,1,2,2,,2,1E+10,1.158978,,1.7,,41.50497,,,,6.918832,,,,,,1,,,,,1,,,,,,,,,,,,,,,
8,"Cod (adult)",,1,,,,,,1.158978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Juvenile Whiting",1,1,2,2,2,2,1E+10,1.158978,2,1.7,1.623624,41.50497,,,,6.918832,3.805102,,,,,1,,,2,,1,,,,,,,,,,,,,,,
10,"Whiting (adult)",1,1,,,2,2,,1.158978,,1.7,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
11,"Other gadoids",1,1,,2,2,2,1E+10,1.158978,2,1.7,1.623624,41.50497,,,,6.918832,3.805102,,,,,1,,,2,,,,,,,,,,,,,,,,,
12,"Demersal fish",1,1,2,2,2,2,1E+10,1.158978,2,1.7,1.623624,41.50497,,,,6.918832,3.805102,,,,,1,2,,2,,1,,,,,,,,,,,,,,,
13,"Juvenile Herring",1,1,,,2,2,1E+10,1.158978,2,1.7,,41.50497,,,,6.918832,3.805102,,1E+10,,,1,,,,,1,,,,,,,,,,,,,,,
14,"Herring (adult)",1,1,2,2,2,2,1E+10,1.158978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Sprat,1,1,2,2,2,2,1E+10,1.158978,2,1.7,1.623624,41.50497,,,,6.918832,3.805102,,,,,1,,,,,1,,,,,,,,,,,,,,,
16,Mackerel,1,,2,2,2,,,1.158978,,,,41.50497,,,,6.918832,,,,,,,,,2,,,,,,,,,,,,,,,,,
17,"Horse mackerel",1,1,,,2,,1E+10,1.158978,2,1.7,,41.50497,,,,6.918832,3.805102,,,,,,,,2,,1,,,,,,,,,,,,,,,
18,Sandeels,1,1,2,2,2,2,1E+10,1.158978,2,1.7,1.623624,41.50497,,,,6.918832,3.805102,,1E+10,,,1,,,2,,1,,,,,,,,,,,,,,,
19,"Juvenile Plaice",,,2,2,,,1E+10,1.158978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Plaice (adult)",,1,,,2,2,,1.158978,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
21,Dab,,1,,2,2,2,1E+10,1.158978,2,1.7,1.623624,41.50497,,,,,3.805102,,,,,1,,,,,1,,,,,,,,,,,,,,,
22,"Other flatfish",,1,,,,,,1.158978,2,1.7,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,
23,"Juvenile Sole",,,2,,,2,1E+10,1.158978,2,1.7,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
24,"Sole (adult)",,1,,,2,2,,,,,,41.50497,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,
