Index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,sal,SST_new_y,PP_anomaly,Mortality_blue_mussels_reef,NAO_10y_inv,NAO_10y_inv2,NAO_10y_inv3,AMO_3y_1,AMO_3y_2,AMO_3y_3,T_Harbour.porpoise,T_Seals,T_Sharks,T_Rays,T_Cod..adult.,T_Whiting..adult.,T_Other.gadoids,T_Demersal.fish,T_Herring..adult.,T_Herring..adult...Ru.,T_Juvenile.Herring..Ru.,T_Sprat,T_Mackerel,T_Mackerel..Ru.,T_Horse.mackerel,T_Sandeels,T_Plaice..adult.,T_Dab,T_Other.flatfish,T_Sole..adult.,T_Sea.Bass,T_Sea.Bass..Ru.,T_Pelagic.fish,T_Squid...cuttlefish,T_Carnivorous.plankton,T_Temora.longicornis,T_Herbivorous.plankton..copepods.,T_Gelatinous.zooplankton,T_Large.crabs...shrimps,T_Blue.mussels..aquaculture.,T_Epifaunal.macrobenthos..mobile.grazers.,T_Infaunal.macrobenthos,T_Crangon..below.5cm.,T_Small.mobile.epifauna..swarming.crustaceans.,T_Small.infauna..polychaetes.,T_Sessile.epifauna,S_Harbour.porpoise,S_Seals,S_Sharks,S_Rays,S_Cod..adult.,S_Whiting..adult.,S_Other.gadoids,S_Demersal.fish,S_Herring..adult.,S_Herring..adult...Ru.,S_Juvenile.Herring..Ru.,S_Sprat,S_Mackerel,S_Mackerel..Ru.,S_Horse.mackerel,S_Sandeels,S_Plaice..adult.,S_Dab,S_Other.flatfish,S_Sole..adult.,S_Sea.Bass,S_Sea.Bass..Ru.,S_Pelagic.fish,S_Squid...cuttlefish,S_Carnivorous.plankton,S_Temora.longicornis,S_Herbivorous.plankton..copepods.,S_Gelatinous.zooplankton,S_Large.crabs...shrimps,S_Blue.mussels..aquaculture.,S_Epifaunal.macrobenthos..mobile.grazers.,S_Infaunal.macrobenthos,S_Crangon..below.5cm.,S_Small.mobile.epifauna..swarming.crustaceans.,S_Small.infauna..polychaetes.,S_Sessile.epifauna,PO4_y_copernicus_1,PO4_y_copernicus_2,PO4_y_copernicus_3,PO4_y_copernicus_4,PO4_y_schelde_1,PO4_y_schelde_2,PO4_y_schelde_3,PO4_y_schelde_4
1991,34.18649,10.64924,0.983368,1000000,1,1,1,0.999999996,0.999999993,0.999999991,0.995313751,0.985409147,0.884528959,0.846104921,0.715721766,0.727034979,0.701812112,0.938100704,0.963732834,0.786520508,0.687963835,0.846253117,0.750415007,0.585816884,0.836696359,0.600594348,0.854738755,0.483113591,0.622067886,0.719213496,0.583300507,0.582720123,0.776938527,0.763496802,0.691280873,0.867191373,0.84202201,0.998530582,0.725142537,0.995308114,0.935768826,0.886551548,0.745446316,0.407478651,0.980930928,0.998145288,0.993892999,0.992952339,0.999979598,0.999782905,0.988727035,1,0.999642607,0.999706804,0.992956426,1,1,0.999962684,0.999999882,1,0.99997636,0.995604767,0.995780985,0.997613952,0.998289227,0.999957821,0.999967546,0.5,0.999999991,0.999781655,0.991093544,0.5,0.99952722,0.995952454,0.998578246,0.993763808,0.999127576,0.999179472,0.992963947,0.996957533,0.997349458,0.996864847,1,1,1,1,1,1,1,1
February,34.18649,10.64924,0.9833817,1000000,1,1,1,0.999999996,0.999999993,0.999999991,0.995313751,0.985409147,0.884528959,0.846104921,0.715721766,0.727034979,0.701812112,0.938100704,0.963732834,0.786520508,0.687963835,0.846253117,0.750415007,0.585816884,0.836696359,0.600594348,0.854738755,0.483113591,0.622067886,0.719213496,0.583300507,0.582720123,0.776938527,0.763496802,0.691280873,0.867191373,0.84202201,0.998530582,0.725142537,0.995308114,0.935768826,0.886551548,0.745446316,0.407478651,0.980930928,0.998145288,0.993892999,0.992952339,0.999979598,0.999782905,0.988727035,1,0.999642607,0.999706804,0.992956426,1,1,0.999962684,0.999999882,1,0.99997636,0.995604767,0.995780985,0.997613952,0.998289227,0.999957821,0.999967546,0.5,0.999999991,0.999781655,0.991093544,0.5,0.99952722,0.995952454,0.998578246,0.993763808,0.999127576,0.999179472,0.992963947,0.996957533,0.997349458,0.996864847,1,1,1,1,1,1,1,1
March,34.18649,10.64924,0.9834225,1000000,1,1,1,0.999999996,0.999999993,0.999999991,0.995313751,0.985409147,0.884528959,0.846104921,0.715721766,0.727034979,0.701812112,0.938100704,0.963732834,0.786520508,0.687963835,0.846253117,0.750415007,0.585816884,0.836696359,0.600594348,0.854738755,0.483113591,0.622067886,0.719213496,0.583300507,0.582720123,0.776938527,0.763496802,0.691280873,0.867191373,0.84202201,0.998530582,0.725142537,0.995308114,0.935768826,0.886551548,0.745446316,0.407478651,0.980930928,0.998145288,0.993892999,0.992952339,0.999979598,0.999782905,0.988727035,1,0.999642607,0.999706804,0.992956426,1,1,0.999962684,0.999999882,1,0.99997636,0.995604767,0.995780985,0.997613952,0.998289227,0.999957821,0.999967546,0.5,0.999999991,0.999781655,0.991093544,0.5,0.99952722,0.995952454,0.998578246,0.993763808,0.999127576,0.999179472,0.992963947,0.996957533,0.997349458,0.996864847,1,1,1,1,1,1,1,1
April,34.18649,10.64924,0.9834899,1000000,1,1,1,0.999999996,0.999999993,0.999999991,0.995313751,0.985409147,0.884528959,0.846104921,0.715721766,0.727034979,0.701812112,0.938100704,0.963732834,0.786520508,0.687963835,0.846253117,0.750415007,0.585816884,0.836696359,0.600594348,0.854738755,0.483113591,0.622067886,0.719213496,0.583300507,0.582720123,0.776938527,0.763496802,0.691280873,0.867191373,0.84202201,0.998530582,0.725142537,0.995308114,0.935768826,0.886551548,0.745446316,0.407478651,0.980930928,0.998145288,0.993892999,0.992952339,0.999979598,0.999782905,0.988727035,1,0.999642607,0.999706804,0.992956426,1,1,0.999962684,0.999999882,1,0.99997636,0.995604767,0.995780985,0.997613952,0.998289227,0.999957821,0.999967546,0.5,0.999999991,0.999781655,0.991093544,0.5,0.99952722,0.995952454,0.998578246,0.993763808,0.999127576,0.999179472,0.992963947,0.996957533,0.997349458,0.996864847,1,1,1,1,1,1,1,1
May,34.18649,10.64924,0.9835835,1000000,1,1,1,0.999999996,0.999999993,0.999999991,0.995313751,0.985409147,0.884528959,0.846104921,0.715721766,0.727034979,0.701812112,0.938100704,0.963732834,0.786520508,0.687963835,0.846253117,0.750415007,0.585816884,0.836696359,0.600594348,0.854738755,0.483113591,0.622067886,0.719213496,0.583300507,0.582720123,0.776938527,0.763496802,0.691280873,0.867191373,0.84202201,0.998530582,0.725142537,0.995308114,0.935768826,0.886551548,0.745446316,0.407478651,0.980930928,0.998145288,0.993892999,0.992952339,0.999979598,0.999782905,0.988727035,1,0.999642607,0.999706804,0.992956426,1,1,0.999962684,0.999999882,1,0.99997636,0.995604767,0.995780985,0.997613952,0.998289227,0.999957821,0.999967546,0.5,0.999999991,0.999781655,0.991093544,0.5,0.99952722,0.995952454,0.998578246,0.993763808,0.999127576,0.999179472,0.992963947,0.996957533,0.997349458,0.996864847,1,1,1,1,1,1,1,1
June,34.18649,10.64924,0.9837027,1000000,1,1,1,0.999999996,0.999999993,0.999999991,0.995313751,0.985409147,0.884528959,0.846104921,0.715721766,0.727034979,0.701812112,0.938100704,0.963732834,0.786520508,0.687963835,0.846253117,0.750415007,0.585816884,0.836696359,0.600594348,0.854738755,0.483113591,0.622067886,0.719213496,0.583300507,0.582720123,0.776938527,0.763496802,0.691280873,0.867191373,0.84202201,0.998530582,0.725142537,0.995308114,0.935768826,0.886551548,0.745446316,0.407478651,0.980930928,0.998145288,0.993892999,0.992952339,0.999979598,0.999782905,0.988727035,1,0.999642607,0.999706804,0.992956426,1,1,0.999962684,0.999999882,1,0.99997636,0.995604767,0.995780985,0.997613952,0.998289227,0.999957821,0.999967546,0.5,0.999999991,0.999781655,0.991093544,0.5,0.99952722,0.995952454,0.998578246,0.993763808,0.999127576,0.999179472,0.992963947,0.996957533,0.997349458,0.996864847,1,1,1,1,1,1,1,1
July,34.18649,10.64924,0.9838475,1000000,1,1,1,0.999999996,0.999999993,0.999999991,0.995313751,0.985409147,0.884528959,0.846104921,0.715721766,0.727034979,0.701812112,0.938100704,0.963732834,0.786520508,0.687963835,0.846253117,0.750415007,0.585816884,0.836696359,0.600594348,0.854738755,0.483113591,0.622067886,0.719213496,0.583300507,0.582720123,0.776938527,0.763496802,0.691280873,0.867191373,0.84202201,0.998530582,0.725142537,0.995308114,0.935768826,0.886551548,0.745446316,0.407478651,0.980930928,0.998145288,0.993892999,0.992952339,0.999979598,0.999782905,0.988727035,1,0.999642607,0.999706804,0.992956426,1,1,0.999962684,0.999999882,1,0.99997636,0.995604767,0.995780985,0.997613952,0.998289227,0.999957821,0.999967546,0.5,0.999999991,0.999781655,0.991093544,0.5,0.99952722,0.995952454,0.998578246,0.993763808,0.999127576,0.999179472,0.992963947,0.996957533,0.997349458,0.996864847,1,1,1,1,1,1,1,1
August,34.18649,10.64924,0.9840171,1000000,1,1,1,0.999999996,0.999999993,0.999999991,0.995313751,0.985409147,0.884528959,0.846104921,0.715721766,0.727034979,0.701812112,0.938100704,0.963732834,0.786520508,0.687963835,0.846253117,0.750415007,0.585816884,0.836696359,0.600594348,0.854738755,0.483113591,0.622067886,0.719213496,0.583300507,0.582720123,0.776938527,0.763496802,0.691280873,0.867191373,0.84202201,0.998530582,0.725142537,0.995308114,0.935768826,0.886551548,0.745446316,0.407478651,0.980930928,0.998145288,0.993892999,0.992952339,0.999979598,0.999782905,0.988727035,1,0.999642607,0.999706804,0.992956426,1,1,0.999962684,0.999999882,1,0.99997636,0.995604767,0.995780985,0.997613952,0.998289227,0.999957821,0.999967546,0.5,0.999999991,0.999781655,0.991093544,0.5,0.99952722,0.995952454,0.998578246,0.993763808,0.999127576,0.999179472,0.992963947,0.996957533,0.997349458,0.996864847,1,1,1,1,1,1,1,1
