Name,Sharks_C_abs,Rays_C_ICES_rel,Cod.adult_C_abs,Whiting.adult_C_ICES_rel_WithIndustrialBycatch,OtherGadoids_C_abs,DemersalFish_C_abs,Herring.adult_C_abs,Sprat_C_ICES25_rel,Mackerel_C_abs,Sandeels_C_ICES25_rel,Plaice.adult_C_abs,Dab_C_abs,OtherFlatfish_C_abs,Sole.adult_C,SeaBass_C_comm&rec_ICES,PelagicFish_C_abs,LargeCrabsShrimps _C_abs,Crangon.com_C_abs,Horse.Mackerel_C_IVc_abs,Mackerel_F4.8,Cod_F2.4,Sandeels_F1.2,Sprat_F1.2,Plaice_F2.6,Sole_F2.6,Herring_F2.6,SeaBass_F4.15,HorseMackerel_F_calculated,Beam_E_rel,Demersal_E_rel,Dredge_E_rel,Hooks_E_rel,Nets_E_rel,Pelagic_E_rel,Pots_E_rel,Shrimp_E_rel,B_Cod_IVc_rel,B_Herring_ICES25,B_Whiting_Ivc,B_Mackerel_IVc_rel,Horse.Mackerel_B_abs_ICES_NE_Atlantic,B_Sprat_ICES25,B_Plaice_ICES25,B_Sole_ICES25,B_Seabass_ICES25,B_Sandeels_r1_ICES25,B_OtherFlatfish_IVc_rel,B_Dab_IVc_rel,B_Rays_ICES_rel,B_Sharks_IVc_rel,B_OtherGadoids_IVc_rel,B_Demersal_IVc_rel,B_PelagicFish_IVc_abs_rescaled,B_Copepods_rel,B_Temora_rel
Weight,0.75,0.75,1,1,0.75,0.75,1,1,1,1,1,1,0.75,1,1,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,0.75,0.75,0.75,0.75,0.75,0.75,1
Pool code,5,6,8,10,11,12,14,15,16,18,20,21,22,24,25,26,32,37,17,16,8,18,15,20,24,14,25,17,4,2,9,8,3,6,7,5,8,14,10,16,17,15,20,24,25,18,22,21,6,5,11,12,26,30,29
Type,6,61,6,61,6,6,6,61,6,61,6,6,6,61,61,6,6,6,6,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,0.011403609,,0.144188825,1,0.03343157,0.370067141,0.186441632,1,0.475755442,1,0.521256625,0.459634391,0.112075455,1,1,0.041393096,0.029392711,0.123723447,0.038344368,0.27,1.35,0.48,0.61,0.39,0.3,0.31,0.106,0.025442136,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1992,0.013283431,,0.178211261,0.856503764,0.030241901,0.334288339,0.225980333,1.243667289,0.139302777,1.681502932,0.438525885,0.433846325,0.110047552,0.952558633,1.010856684,0.074803013,0.020295375,0.135132468,0.0413302,0.29,1.23,0.69,0.78,0.38,0.31,0.37,0.1,0.019929714,1.16,0.97,1,0.967941071,1,1.17,1,1.04,2.133301518,0.759903804,2.110464966,1.100219769,1.376,1.417814378,0.855607838,0.958211465,0.945880835,1.191832243,0.958037877,0.4857578,0.936567164,4.093641173,0.85539604,1.659805595,0.989404761,0.275478739,0.788576123
1993,0.007356239,,0.170159547,0.922432974,0.030457743,0.455597533,0.179794227,1.661828876,0.201167054,0.434639559,0.404289554,0.48921482,0.116208514,1.229211087,1.13865904,0.060565297,0.019532263,0.135651059,0.10172258,0.31,1.2,0.3,1.39,0.35,0.35,0.44,0.092,0.121393257,1.17,0.9,1,0.935882143,1,1.08,1,1.13,0.904681556,0.541257019,1.086631817,1.172226208,0.556,1.888043335,0.772956897,0.640611444,1.034545063,0.861138536,0.749950232,1.256683236,0.876865672,0.935128049,0.686922138,0.799376589,0.258973963,1.496023497,2.356391303
1994,0.006732829,,0.129727315,0.802030897,0.024773897,0.578600399,0.197371349,3.37880221,0.259879405,0.581693779,0.370900656,0.353448228,0.114528252,1.250533045,1.290169557,0.031869855,0.028526706,0.156316159,0.047050425,0.32,1.18,0.24,0.68,0.35,0.34,0.43,0.09,0.026728384,1.1,0.89,1,0.903823214,1,0.88,1,1.22,1.231155697,0.57378217,2.025950685,1.720946633,1.168,1.496973551,0.679187376,1.09383637,1.233039363,0.662230724,0.49587242,1.504139018,0.824626866,1.95872543,0.624419726,1.135853417,2.204980807,0.351806663,0.538927062
1995,0.011326881,,0.232157742,0.832344448,0.026908338,0.606122555,0.25211422,3.557636212,0.461973489,1.206364162,0.407340315,0.307939869,0.125382362,1.285447762,1.471699293,0.065617643,0.029495602,0.204105185,0.040198727,0.32,1.31,0.45,1.29,0.37,0.31,0.4,0.098,0.019801436,0.97,0.82,1,0.871764286,1,0.65,1,1.2,0.78577785,0.592066808,2.618847271,0.567159241,1.347,2.187486293,0.650022746,0.879321294,1.392858679,1.591396191,1.413831526,1.813221722,0.791044776,1.125439319,0.75351767,0.800909134,5.688266275,0.239856043,0.830935013
1996,0.007039738,,0.194125236,0.600621735,0.030050042,0.625599773,0.134095284,0.759225847,0.205864039,0.87810201,0.387552733,0.486939403,0.112925243,1.10323383,1.784409329,0.040513061,0.028406666,0.175771212,0.097078825,0.3,1.36,0.43,1.1,0.39,0.32,0.198,0.126,0.061113322,0.81,0.77,1,0.839705357,1,0.58,1,1.16,1.129702643,0.694611344,1.28027109,0.911742289,1.054,1.243234352,0.609943236,0.625343244,1.426887503,1.268885324,0.789153444,0.906557418,0.779850746,2.396943608,0.381469286,0.477689911,2.616495294,0.239604218,0.485170499
1997,0.007174011,,0.253092198,0.484732764,0.012806642,0.454962407,0.171968205,0.995326471,0.218286336,1.283590806,0.345689496,0.39213033,0.076287791,0.723436386,1.60291087,0.010104693,0.025628591,0.132398074,0.664080453,0.29,1.25,0.44,0.79,0.44,0.25,0.186,0.122,0.70387956,0.78,0.78,1,0.807646428,1,0.56,1,1.07,1.111391316,0.806919335,1.117867139,0.312068638,0.626,1.273838765,0.658299723,0.53941378,1.344246074,0.979866853,0.536031219,1.147718074,0.779850746,1.490401747,0.156602872,0.749442748,,0.21700424,0.301410113
